Unnamed: 0,JAX,IND
First Downs,18,23
Rush-Yds-TDs,17-53-0,37-273-2
Cmp-Att-Yd-TD-INT,26-42-261-2-0,17-27-164-1-1
Sacked-Yards,6-31,0-0
Net Pass Yards,230,164
Total Yards,283,437
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,3-54,1-15
Third Down Conv.,5-15,3-10
Fourth Down Conv.,0-2,0-0
Time of Possession,26:22,33:38
