Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Clint Stitser kicks off 62 yards, returned by Josh Cribbs for 17 yards (tackle by Quan Cosby)",0.000,0.610
1,14:56,1,10,CLE 25,0,0,Colt McCoy pass incomplete short right intended for Peyton Hillis,0.610,0.060
1,14:52,2,10,CLE 25,0,0,Colt McCoy pass complete short middle to Ben Watson for 18 yards (tackle by Roy Williams),0.060,1.800
1,14:17,1,10,CLE 43,0,0,Peyton Hillis right tackle for 2 yards (tackle by Rey Maualuga),1.800,1.520
1,13:42,2,8,CLE 45,0,0,Colt McCoy pass complete short middle to Brian Robiskie for 17 yards (tackle by Rey Maualuga and Reggie Nelson),1.520,3.050
1,13:02,1,10,CIN 38,0,0,Peyton Hillis left guard for 3 yards (tackle by Rey Maualuga and Pat Sims),3.050,2.910
1,12:22,2,7,CIN 35,0,0,"Colt McCoy pass incomplete short right intended for Peyton Hillis (defended by Keith Rivers). Penalty on Dhani Jones: Roughing the Passer, 15 yards (no play)",2.910,4.240
1,12:15,1,10,CIN 20,6,0,"Colt McCoy pass complete deep left to Robert Royal for 20 yards, touchdown",4.240,7.000
1,,,,CIN 2,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,0,"Phil Dawson kicks off 56 yards, returned by Bernard Scott for 69 yards (tackle by Joe Haden). Penalty on Dan Skuta: Offensive Holding, 10 yards, Penalty on CLE: Unsportsmanlike Conduct, 15 yards",0.000,2.260
1,11:57,1,10,,7,0,Cedric Benson right tackle for 10 yards (tackle by Joe Haden),2.260,2.920
1,11:18,1,10,CLE 40,7,0,Carson Palmer pass complete short right to Reggie Kelly for 3 yards (tackle by Joe Haden),2.920,2.780
1,10:38,2,7,CLE 37,7,0,Cedric Benson right tackle for 5 yards (tackle by Kenyon Coleman and Joe Haden),2.780,2.740
1,9:54,3,2,CLE 32,7,0,Cedric Benson right guard for 4 yards (tackle by Matt Roth),2.740,3.710
1,9:09,1,10,CLE 28,7,0,Cedric Benson right guard for no gain (tackle by Ahtyba Rubin),3.710,3.170
1,8:26,2,10,CLE 28,7,0,Carson Palmer pass incomplete short middle intended for Cedric Benson,3.170,2.480
1,8:21,3,10,CLE 28,7,0,Carson Palmer pass incomplete deep left intended for Andre Caldwell,2.480,1.590
1,8:14,4,10,CLE 28,7,0,Carson Palmer pass incomplete short middle intended for Jordan Shipley (defended by Abram Elam). Penalty on Anthony Collins: Illegal Formation (Declined),1.590,-0.810
1,8:07,1,10,CLE 28,7,0,Peyton Hillis right tackle for 5 yards (tackle by Roy Williams),0.810,0.940
1,7:27,2,5,CLE 33,7,0,Colt McCoy pass complete short right to Ben Watson for 7 yards (tackle by Roy Williams),0.940,1.600
1,7:03,1,10,CLE 40,7,0,Colt McCoy pass incomplete deep right intended for Josh Cribbs (defended by Johnathan Joseph),1.600,1.050
1,6:55,2,10,CLE 40,7,0,Peyton Hillis right guard for 3 yards (tackle by Domata Peko),1.050,0.760
1,6:15,3,7,CLE 43,7,0,Colt McCoy pass complete short right to Brian Robiskie for 9 yards (tackle by Johnathan Joseph),0.760,2.390
1,5:39,1,10,CIN 48,7,0,Peyton Hillis left tackle for 5 yards (tackle by Dhani Jones and Reggie Nelson),2.390,2.520
1,5:01,2,5,CIN 43,7,0,Colt McCoy pass incomplete deep right intended for Mohamed Massaquoi (defended by Johnathan Joseph),2.520,1.820
1,4:53,3,5,CIN 43,7,0,Colt McCoy pass complete short right to Chansi Stuckey for 2 yards (tackle by Keiwan Ratliff),1.820,0.530
1,4:14,4,3,CIN 41,7,0,"Reggie Hodges punts 32 yards, fair catch by Quan Cosby",0.530,0.380
1,4:07,1,10,CIN 9,7,0,Cedric Benson left guard for 8 yards (tackle by Sheldon Brown),-0.380,-0.020
1,3:31,2,2,CIN 17,7,0,"Penalty on Matt Roth: Neutral Zone Infraction, 5 yards (no play)",-0.020,0.410
1,3:16,1,10,CIN 22,7,0,Carson Palmer pass complete short left to Jerome Simpson for 15 yards (tackle by Sheldon Brown),0.410,1.400
1,2:50,1,10,CIN 37,7,0,Cedric Benson right end for no gain (tackle by Matt Roth),1.400,0.860
1,2:09,2,10,CIN 37,7,0,Cedric Benson left tackle for 7 yards (tackle by T.J. Ward and Ahtyba Rubin),0.860,1.090
1,1:27,3,3,CIN 44,7,0,Carson Palmer pass complete short middle to Andre Caldwell for 6 yards (tackle by T.J. Ward),1.090,2.260
1,0:41,1,10,,7,0,Carson Palmer pass complete short left to Jordan Shipley for 5 yards (tackle by Eric Wright),2.260,2.390
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,CLE 45,7,0,Carson Palmer pass complete short right to Andre Caldwell for 9 yards (tackle by Joe Haden),2.390,3.180
2,14:27,1,10,CLE 36,7,0,Cedric Benson left tackle for 12 yards (tackle by Abram Elam),3.180,3.970
2,13:42,1,10,CLE 24,7,0,Carson Palmer pass complete short right to Jermaine Gresham for 6 yards (tackle by Eric Barton and Marcus Benard),3.970,4.290
2,12:59,2,4,CLE 18,7,6,"Cedric Benson left tackle for 18 yards, touchdown",4.290,7.000
2,,,,CLE 2,7,7,Clint Stitser kicks extra point good,0.000,0.000
2,,,,CIN 30,7,7,"Clint Stitser kicks off 52 yards, returned by Josh Cribbs for 17 yards (tackle by Brian Leonard)",0.000,1.270
2,12:47,1,10,CLE 35,7,7,Peyton Hillis middle for 4 yards (tackle by Domata Peko and Dhani Jones),1.270,1.260
2,12:08,2,6,CLE 39,7,7,Colt McCoy pass incomplete short left intended for Chansi Stuckey,1.260,0.560
2,12:00,3,6,CLE 39,7,7,Colt McCoy pass incomplete short middle intended for Brian Robiskie (defended by Robert Geathers),0.560,-0.780
2,11:56,4,6,CLE 39,7,7,"Reggie Hodges punts 46 yards, returned by Quan Cosby for 10 yards (tackle by Jason Trusnik)",-0.780,-0.610
2,11:46,1,10,CIN 25,7,7,Carson Palmer pass complete short left to Jordan Shipley for 9 yards (tackle by Brian Schaefering),0.610,1.280
2,11:08,2,1,CIN 34,7,7,Bernard Scott right guard for 3 yards (tackle by Matt Roth and Kenyon Coleman),1.280,1.400
2,10:27,1,10,CIN 37,7,7,Carson Palmer pass incomplete,1.400,0.860
2,10:20,2,10,CIN 37,7,7,"Bernard Scott left tackle for 4 yards (tackle by Eric Barton). Penalty on Reggie Kelly: Offensive Holding, 10 yards (no play)",0.860,-0.490
2,10:08,2,20,CIN 27,7,7,Carson Palmer pass complete short middle to Chad Johnson for 16 yards (tackle by T.J. Ward),-0.490,0.960
2,9:25,3,4,CIN 43,7,7,Carson Palmer pass complete short middle to Quan Cosby for 11 yards (tackle by Mike Adams),0.960,2.520
2,8:46,1,10,CLE 46,7,7,Bernard Scott left tackle for 5 yards (tackle by David Bowens and Chris Gocong),2.520,2.650
2,8:07,2,5,CLE 41,7,7,Bernard Scott right guard for 8 yards (tackle by T.J. Ward),2.650,3.380
2,7:18,1,10,CLE 33,7,7,"Penalty on Carson Palmer: Delay of Game, 5 yards (no play)",3.380,3.050
2,7:03,1,15,CLE 38,7,7,Cedric Benson right guard for 6 yards (tackle by David Bowens and Ahtyba Rubin),3.050,2.970
2,6:22,2,9,CLE 32,7,7,Carson Palmer pass complete short middle to Chad Johnson for 20 yards (tackle by Abram Elam),2.970,4.780
2,5:40,1,10,CLE 12,7,7,Cedric Benson right end for 2 yards (tackle by T.J. Ward and Matt Roth),4.780,4.450
2,5:10,2,8,CLE 10,7,7,Cedric Benson left guard for 3 yards (tackle by Kenyon Coleman),4.450,4.160
2,4:28,3,5,CLE 7,7,7,Carson Palmer pass incomplete short middle intended for Jermaine Gresham. Penalty on Jermaine Gresham: Offensive Pass Interfere (Declined),4.160,2.980
2,4:23,4,5,CLE 7,7,10,Clint Stitser 25 yard field goal good,2.980,3.000
2,,,,CIN 30,7,10,"Clint Stitser kicks off 53 yards, returned by Josh Cribbs for 18 yards (tackle by Brian Leonard)",0.000,1.270
2,4:15,1,10,CLE 35,7,10,Peyton Hillis left guard for 4 yards (tackle by Clinton McDonald and Roy Williams),1.270,1.260
2,3:36,2,6,CLE 39,7,10,Colt McCoy pass complete short right to Peyton Hillis for 11 yards (tackle by Rey Maualuga),1.260,2.260
2,3:07,1,10,,7,10,Colt McCoy pass complete short middle to Robert Royal for 9 yards (tackle by Robert Geathers),2.260,2.930
2,2:35,2,1,CIN 41,7,10,Colt McCoy pass complete short right to Josh Cribbs for 4 yards (tackle by Johnathan Joseph),2.930,3.120
2,2:00,1,10,CIN 37,7,10,Colt McCoy pass complete short middle to Ben Watson for 6 yards (tackle by Rey Maualuga and Leon Hall),3.120,3.380
2,1:18,2,4,CIN 31,7,10,Colt McCoy sacked by Carlos Dunlap for -8 yards,3.380,1.620
2,0:35,3,12,CIN 39,7,10,Colt McCoy pass complete short middle to Brian Robiskie for 5 yards (tackle by Leon Hall),1.620,1.060
2,0:23,,,,7,10,Timeout #1 by Cincinnati Bengals,0.000,0.000
2,0:23,,,,7,10,Timeout #1 by Cleveland Browns,0.000,1.060
2,0:23,4,7,CIN 34,7,10,"Colt McCoy pass incomplete deep left intended for Brian Robiskie (defended by Leon Hall). Penalty on John St. Clair: Illegal Formation (Offsetting), Penalty on Roy Williams: Personal Foul (Offsetting) (no play)",1.060,1.060
2,0:16,4,7,CIN 34,7,10,"Penalty on John St. Clair: False Start, 5 yards (no play)",1.060,0.660
2,0:16,4,12,CIN 39,7,10,"Reggie Hodges punts 31 yards, fair catch by Quan Cosby",0.660,0.380
2,0:10,1,10,CIN 8,7,10,Carson Palmer kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,7,10,"Phil Dawson kicks off 59 yards, returned by Bernard Scott for 29 yards (tackle by T.J. Ward)",0.000,1.600
3,14:53,1,10,CIN 40,7,10,"Cedric Benson left guard for 11 yards (tackle by Abram Elam and T.J. Ward). Penalty on Kyle Cook: Offensive Holding, 10 yards (no play)",1.600,0.940
3,14:23,1,20,CIN 30,7,10,Carson Palmer pass complete deep right to Andre Caldwell for 21 yards,0.940,2.320
3,13:57,,,,7,10,Timeout #1 by Cincinnati Bengals,0.000,2.320
3,13:57,1,10,CLE 49,7,10,Cedric Benson right tackle for 3 yards (tackle by Kenyon Coleman and Matt Roth),2.320,2.190
3,13:22,2,7,CLE 46,7,10,Carson Palmer pass incomplete short left intended for Jermaine Gresham (defended by T.J. Ward),2.190,1.490
3,13:16,3,7,CLE 46,7,10,Carson Palmer pass complete short middle to Brian Leonard for 20 yards (tackle by T.J. Ward),1.490,3.840
3,12:39,1,10,CLE 26,7,10,Cedric Benson right tackle for 5 yards (tackle by Matt Roth),3.840,3.970
3,12:04,2,5,CLE 21,7,10,Cedric Benson left end for no gain (tackle by Chris Gocong),3.970,3.270
3,11:21,3,5,CLE 21,7,10,Carson Palmer pass incomplete short right intended for Andre Caldwell,3.270,2.110
3,11:16,4,5,CLE 21,7,13,Clint Stitser 39 yard field goal good,2.110,3.000
3,,,,CIN 30,7,13,"Clint Stitser kicks off 63 yards, returned by Josh Cribbs for 19 yards (tackle by Roddrick Muckelroy). Josh Cribbs fumbles (forced by Roddrick Muckelroy), recovered by Josh Cribbs at CLE-26",0.000,0.670
3,11:04,1,10,CLE 26,7,13,Peyton Hillis left guard for 1 yard (tackle by Domata Peko),0.670,0.270
3,10:27,2,9,CLE 27,7,13,Colt McCoy sacked by Pat Sims for -8 yards,0.270,-1.580
3,9:54,3,17,CLE 19,7,13,Colt McCoy pass complete short left to Peyton Hillis for 12 yards (tackle by Keiwan Ratliff and Dhani Jones),-1.580,-1.310
3,9:10,4,5,CLE 31,7,13,"Reggie Hodges punts 38 yards, returned by Quan Cosby for 16 yards (tackle by Eric Alexander)",-1.310,-2.060
3,8:59,1,10,CIN 47,7,13,Cedric Benson left end for 5 yards (tackle by Kenyon Coleman),2.060,2.190
3,8:23,2,5,CLE 48,7,13,Cedric Benson left guard for 7 yards (tackle by David Bowens and Ahtyba Rubin),2.190,2.850
3,7:43,1,10,CLE 41,7,13,Cedric Benson right guard for 5 yards (tackle by Kenyon Coleman and Ahtyba Rubin),2.850,2.980
3,7:03,2,5,CLE 36,7,13,Cedric Benson right end for 6 yards (tackle by Joe Haden),2.980,3.580
3,6:27,1,10,CLE 30,7,13,Cedric Benson left tackle for 5 yards (tackle by Matt Roth),3.580,3.710
3,5:49,2,5,CLE 25,7,13,Cedric Benson right end for 5 yards (tackle by Joe Haden),3.710,4.240
3,5:06,1,10,CLE 20,7,13,Cedric Benson left tackle for 4 yards (tackle by Ahtyba Rubin and David Bowens),4.240,4.280
3,4:27,2,6,CLE 16,7,13,Cedric Benson right guard for no gain (tackle by Jason Trusnik),4.280,3.520
3,3:42,3,6,CLE 16,7,13,Carson Palmer pass incomplete deep right intended for Jerome Simpson,3.520,2.400
3,3:37,4,6,CLE 16,7,16,Clint Stitser 34 yard field goal good,2.400,3.000
3,,,,CIN 30,7,16,"Clint Stitser kicks off 52 yards, returned by Josh Cribbs for 16 yards (tackle by Quan Cosby)",0.000,1.200
3,3:29,1,10,CLE 34,7,16,Colt McCoy pass complete short right to Mohamed Massaquoi for 11 yards (tackle by Dhani Jones),1.200,1.930
3,2:53,,,,7,16,Timeout #1 by Cleveland Browns,0.000,1.930
3,2:53,1,10,CLE 45,7,16,Peyton Hillis left end for 3 yards (tackle by Rey Maualuga and Roy Williams),1.930,1.790
3,2:29,2,7,CLE 48,7,16,Peyton Hillis right guard for 18 yards (tackle by Johnathan Joseph and Roy Williams),1.790,3.310
3,1:44,1,10,CIN 34,7,16,Peyton Hillis right guard for 2 yards (tackle by Clinton McDonald),3.310,3.040
3,1:03,2,8,CIN 32,7,16,Colt McCoy pass complete deep middle to Ben Watson for 18 yards (tackle by Reggie Nelson),3.040,4.650
3,0:23,1,10,CIN 14,7,16,Peyton Hillis right guard for 6 yards (tackle by Roy Williams),4.650,5.090
3,0:05,2,4,CIN 8,7,16,Peyton Hillis right guard for 3 yards (tackle by Rey Maualuga),5.090,4.960
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,CIN 5,7,16,Peyton Hillis right guard for no gain (tackle by Pat Sims and Roddrick Muckelroy),4.960,3.030
4,14:09,4,1,CIN 5,10,16,Phil Dawson 23 yard field goal good,3.030,3.000
4,,,,CLE 30,10,16,"Phil Dawson kicks off 63 yards, returned by Bernard Scott for 13 yards (tackle by T.J. Ward)",0.000,0.280
4,14:00,1,10,CIN 20,10,16,Bernard Scott left guard for 7 yards (tackle by Ahtyba Rubin),0.280,0.680
4,13:36,2,3,CIN 27,10,16,Carson Palmer pass complete short left to Andre Caldwell for 53 yards (tackle by T.J. Ward),0.680,4.240
4,13:08,1,10,CLE 20,10,16,Cedric Benson right tackle for no gain (tackle by Eric Barton and Matt Roth),4.240,3.690
4,12:31,2,10,CLE 20,10,16,Cedric Benson left guard for 9 yards (tackle by Abram Elam),3.690,4.590
4,12:10,3,1,CLE 11,10,16,Carson Palmer right guard for 2 yards (tackle by Ahtyba Rubin),4.590,5.140
4,11:29,1,9,CLE 9,10,16,Cedric Benson middle for 4 yards (tackle by Derreck Robinson),5.140,5.150
4,10:48,2,5,CLE 5,10,16,Cedric Benson middle for 2 yards (tackle by Kenyon Coleman),5.150,4.720
4,10:08,3,3,CLE 3,10,16,Carson Palmer pass incomplete short left intended for Chad Johnson (defended by Sheldon Brown),4.720,3.040
4,10:01,4,3,CLE 3,10,19,Clint Stitser 20 yard field goal good,3.040,3.000
4,,,,CIN 30,10,19,"Clint Stitser kicks off 35 yards, returned by Marcus Benard for 5 yards (tackle by Keiwan Ratliff)",0.000,1.600
4,9:52,1,10,CLE 40,10,19,Colt McCoy pass complete short middle to Brian Robiskie for 5 yards (tackle by Rey Maualuga),1.600,1.730
4,9:15,2,5,CLE 45,10,19,Colt McCoy pass incomplete short right intended for Mohamed Massaquoi,1.730,1.030
4,9:08,3,5,CLE 45,10,19,Colt McCoy sacked by Carlos Dunlap and Geno Atkins for -7 yards. Penalty on John St. Clair: Illegal Formation (Declined),1.030,-0.850
4,8:46,4,12,CLE 38,10,19,"Reggie Hodges punts 38 yards, fair catch by Quan Cosby",-0.850,-0.540
4,8:40,1,10,CIN 24,10,19,Bernard Scott right tackle for 1 yard (tackle by Matt Roth and Kenyon Coleman),0.540,0.130
4,8:06,2,9,CIN 25,10,19,Carson Palmer pass complete short right to Jerome Simpson for 15 yards (tackle by Joe Haden). Penalty on Joe Haden: Illegal Contact (Declined),0.130,1.600
4,7:41,1,10,CIN 40,10,19,Bernard Scott left guard for 8 yards (tackle by Ahtyba Rubin),1.600,2.130
4,6:58,2,2,CIN 48,10,19,Bernard Scott left guard for 7 yards (tackle by Sheldon Brown),2.130,2.590
4,6:14,1,10,CLE 45,10,19,Bernard Scott left end for 1 yard (tackle by Sheldon Brown and Jason Trusnik),2.590,2.180
4,5:33,2,9,CLE 44,10,19,Cedric Benson left tackle for 4 yards (tackle by Ahtyba Rubin),2.180,2.010
4,4:51,3,5,CLE 40,10,19,Brian Leonard right tackle for -1 yards (tackle by T.J. Ward),2.010,0.530
4,4:20,4,6,CLE 41,10,19,"Penalty on Roddrick Muckelroy: False Start, 5 yards (no play)",0.530,0.200
4,4:18,4,11,CLE 46,10,19,Kevin Huber punts 34 yards,0.200,0.350
4,4:06,1,10,CLE 12,10,19,Colt McCoy pass complete short middle to Ben Watson for 15 yards (tackle by Reggie Nelson),-0.350,0.740
4,3:43,1,10,CLE 27,10,19,Colt McCoy sacked by Geno Atkins for -1 yards,0.740,0.060
4,3:28,2,11,CLE 26,10,19,Colt McCoy pass complete short middle to Ben Watson for 4 yards (tackle by Dhani Jones),0.060,-0.100
4,3:00,3,7,CLE 30,10,19,Colt McCoy pass complete deep middle to Ben Watson for 24 yards (tackle by Roy Williams and Reggie Nelson),-0.100,2.520
4,2:22,1,10,CIN 46,16,19,"Colt McCoy pass complete deep left to Brian Robiskie for 46 yards, touchdown",2.520,7.000
4,,,,CIN 2,17,19,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,17,19,Phil Dawson kicks onside 14 yards,0.000,2.650
4,2:11,1,10,CLE 44,17,19,Cedric Benson left tackle for 4 yards (tackle by Chris Gocong and Sheldon Brown),2.650,2.650
4,2:00,2,6,CLE 40,17,19,Cedric Benson right guard for 3 yards (tackle by Kenyon Coleman),2.650,2.350
4,1:55,,,,17,19,Timeout #2 by Cleveland Browns,0.000,2.350
4,1:55,3,3,CLE 37,17,19,Cedric Benson left guard for 4 yards (tackle by Jason Trusnik),2.350,3.380
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
4,1:47,,,,17,19,Timeout #3 by Cleveland Browns,0.000,3.380
4,1:47,1,10,CLE 33,17,19,Carson Palmer kneels for -1 yards,3.380,2.700
4,1:06,2,11,CLE 34,17,19,Carson Palmer kneels for -1 yards,2.700,1.880
4,0:25,3,12,CLE 35,17,19,Carson Palmer kneels for no gain,1.880,0.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
