Unnamed: 0,CLE,CIN
First Downs,14,22
Rush-Yds-TDs,14-59-0,45-188-1
Cmp-Att-Yd-TD-INT,19-25-243-2-0,14-23-209-0-0
Sacked-Yards,4-24,0-0
Net Pass Yards,219,209
Total Yards,278,397
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,3-25,6-55
Third Down Conv.,2-8,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,21:57,38:03
