Quarter,Time,Tm,Detail,CLE,CIN
1.0,12:08,Browns,Robert Royal 20 yard pass from Colt McCoy (Phil Dawson kick),7,0
2.0,12:52,Bengals,Cedric Benson 18 yard rush (Clint Stitser kick),7,7
,4:19,Bengals,Clint Stitser 25 yard field goal,7,10
3.0,11:11,Bengals,Clint Stitser 39 yard field goal,7,13
,3:33,Bengals,Clint Stitser 34 yard field goal,7,16
4.0,14:06,Browns,Phil Dawson 23 yard field goal,10,16
,9:58,Bengals,Clint Stitser 20 yard field goal,10,19
,2:13,Browns,Brian Robiskie 46 yard pass from Colt McCoy (Phil Dawson kick),17,19
