Quarter,Time,Tm,Detail,JAX,OAK
1,6:13,Raiders,Sebastian Janikowski 21 yard field goal,0,3
,3:24,Jaguars,Cecil Shorts 42 yard pass from Blaine Gabbert (Josh Scobee kick),7,3
2,11:34,Jaguars,Rashad Jennings 5 yard rush (Josh Scobee kick),14,3
,5:57,Jaguars,Josh Scobee 50 yard field goal,17,3
,0:34,Raiders,Sebastian Janikowski 33 yard field goal,17,6
3,10:42,Jaguars,Josh Scobee 40 yard field goal,20,6
,6:01,Raiders,Denarius Moore 8 yard pass from Carson Palmer (Sebastian Janikowski kick),20,13
4,12:40,Jaguars,Josh Scobee 45 yard field goal,23,13
,6:52,Raiders,Sebastian Janikowski 31 yard field goal,23,16
,3:34,Raiders,Carson Palmer 1 yard rush (Sebastian Janikowski kick),23,23
OT,12:54,Raiders,Sebastian Janikowski 40 yard field goal,23,26
