Unnamed: 0,JAX,OAK
First Downs,10,20
Rush-Yds-TDs,26-54-1,26-69-1
Cmp-Att-Yd-TD-INT,17-32-181-1-0,26-46-298-1-1
Sacked-Yards,3-26,2-16
Net Pass Yards,155,282
Total Yards,209,351
Fumbles-Lost,1-1,4-2
Turnovers,1,3
Penalties-Yards,6-92,9-58
Third Down Conv.,1-15,6-17
Fourth Down Conv.,0-1,0-0
Time of Possession,30:05,32:01
