Unnamed: 0,PIT,CIN
First Downs,29,15
Rush-Yds-TDs,45-207-2,16-44-0
Cmp-Att-Yd-TD-INT,19-28-280-1-1,20-38-251-2-0
Sacked-Yards,1-5,0-0
Net Pass Yards,275,251
Total Yards,482,295
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,7-101,6-40
Third Down Conv.,6-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,40:41,20:52
