Quarter,Time,Tm,Detail,PIT,CIN
2,11:01,Steelers,Willie Parker 1 yard rush (Jeff Reed kick),7,0
,0:07,Bengals,Shayne Graham 34 yard field goal,7,3
4,12:20,Bengals,Chris Henry 66 yard pass from Carson Palmer (Shayne Graham kick),7,10
,7:27,Steelers,Willie Parker 1 yard rush (Jeff Reed kick),14,10
,2:47,Bengals,Tony Stewart 5 yard pass from Carson Palmer (Shayne Graham kick),14,17
,1:03,Steelers,Jeff Reed 35 yard field goal,17,17
OT,13:27,Steelers,Santonio Holmes 67 yard pass from Ben Roethlisberger,23,17
