Unnamed: 0,NYJ,SDG
First Downs,11,21
Rush-Yds-TDs,21-91-0,40-162-1
Cmp-Att-Yd-TD-INT,12-31-74-0-1,20-28-288-3-1
Sacked-Yards,2-14,3-11
Net Pass Yards,60,277
Total Yards,151,439
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,12-94,5-76
Third Down Conv.,1-12,12-18
Fourth Down Conv.,0-1,0-0
Time of Possession,21:06,38:54
