Quarter,Time,Tm,Detail,ATL,NOR
1.0,11:38,Falcons,Mike Johnson 1 yard pass from Matt Ryan (Matt Bryant kick),7,0
,9:19,Falcons,Matt Bryant 37 yard field goal,10,0
,6:49,Saints,Chris Ivory 56 yard rush (Garrett Hartley kick),10,7
2.0,13:33,Saints,Jimmy Graham 29 yard pass from Drew Brees (Garrett Hartley kick),10,14
,6:27,Falcons,Tony Gonzalez 2 yard pass from Matt Ryan (Matt Bryant kick),17,14
,0:34,Saints,Jimmy Graham 14 yard pass from Drew Brees (Garrett Hartley kick),17,21
3.0,9:23,Saints,Marques Colston 7 yard pass from Drew Brees (Garrett Hartley kick),17,28
4.0,13:27,Falcons,Tony Gonzalez 6 yard pass from Matt Ryan (Matt Bryant kick),24,28
,9:08,Falcons,Matt Bryant 20 yard field goal,27,28
,5:54,Saints,Garrett Hartley 31 yard field goal,27,31
