Unnamed: 0,ATL,NOR
First Downs,25,21
Rush-Yds-TDs,18-46-0,29-148-1
Cmp-Att-Yd-TD-INT,34-52-411-3-1,21-32-298-3-1
Sacked-Yards,1-3,1-6
Net Pass Yards,408,292
Total Yards,454,440
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,6-53,5-35
Third Down Conv.,8-16,4-10
Fourth Down Conv.,0-2,0-0
Time of Possession,32:35,27:25
