Quarter,Time,Tm,Detail,PHI,MIA
1.0,13:54,Eagles,Miles Sanders 15 yard pass from Carson Wentz (Jake Elliott kick),7,0
,10:10,Eagles,Jake Elliott 48 yard field goal,10,0
,3:05,Dolphins,DeVante Parker 43 yard pass from Ryan Fitzpatrick (Jason Sanders kick),10,7
2.0,11:09,Eagles,Jake Elliott 43 yard field goal,13,7
,4:40,Dolphins,Jason Sanders 1 yard pass from Matt Haack (Jason Sanders kick),13,14
,0:06,Eagles,JJ Arcega-Whiteside 15 yard pass from Carson Wentz (Nelson Agholor pass from Carson Wentz),21,14
3.0,11:44,Eagles,Alshon Jeffery 10 yard pass from Carson Wentz (Jake Elliott kick),28,14
,8:45,Dolphins,DeVante Parker 17 yard pass from Ryan Fitzpatrick (Jason Sanders kick failed),28,20
,1:10,Dolphins,Mike Gesicki 14 yard pass from Ryan Fitzpatrick (pass failed),28,26
4.0,11:06,Dolphins,Patrick Laird 4 yard rush (Patrick Laird pass from Ryan Fitzpatrick),28,34
,3:37,Dolphins,Jason Sanders 51 yard field goal,28,37
,1:51,Eagles,Jake Elliott 37 yard field goal,31,37
