Unnamed: 0,PHI,MIA
First Downs,23,26
Rush-Yds-TDs,19-92-0,20-58-1
Cmp-Att-Yd-TD-INT,28-46-310-3-1,28-40-366-4-1
Sacked-Yards,2-16,3-15
Net Pass Yards,294,351
Total Yards,386,409
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,10-91,7-59
Third Down Conv.,7-14,5-12
Fourth Down Conv.,0-0,3-3
Time of Possession,28:42,31:18
