Quarter,Time,Down,ToGo,Location,PHI,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Ryan Fitzpatrick pass short middle intended for DeVante Parker is intercepted by Ronald Darby at MIA-34 and returned for 16 yards,0.610,-4.370
1,14:50,1,10,MIA 18,0,0,Carson Wentz pass incomplete deep middle intended for Zach Ertz,4.370,3.800
1,14:45,2,10,MIA 18,0,0,Miles Sanders left tackle for 3 yards (tackle by Avery Moss),3.800,3.460
1,14:00,3,7,MIA 15,6,0,"Carson Wentz pass complete short left to Miles Sanders for 15 yards, touchdown",3.460,7.000
1,13:54,,,MIA 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,13:54,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,13:54,1,10,MIA 25,7,0,Kalen Ballage up the middle for no gain (tackle by Timmy Jernigan and Rodney McLeod),0.610,0.060
1,13:17,2,10,MIA 25,7,0,Ryan Fitzpatrick pass complete short right to DeVante Parker for 7 yards (tackle by Jalen Mills),0.060,0.300
1,12:31,3,3,MIA 32,7,0,Ryan Fitzpatrick sacked by and Josh Sweat for -6 yards and Fletcher Cox for -6 yards,0.300,-1.630
1,11:45,4,9,MIA 26,7,0,"Penalty on Vince Biegel: False Start, 5 yards (no play)",-1.630,-1.960
1,11:30,4,14,MIA 21,7,0,Matt Haack punts 27 yards downed by Patrick Laird,-1.960,-2.390
1,11:20,1,10,MIA 48,7,0,Carson Wentz pass incomplete short middle intended for Greg Ward (defended by Christian Wilkins),2.390,1.850
1,11:17,2,10,MIA 48,7,0,Carson Wentz pass complete short left to Alshon Jeffery for 13 yards (tackle by Ken Webster),1.850,3.250
1,11:05,1,10,MIA 35,7,0,Miles Sanders right tackle for 5 yards (tackle by Davon Godchaux),3.250,3.380
1,10:27,2,5,MIA 30,7,0,Carson Wentz pass incomplete short middle intended for Nelson Agholor,3.380,2.680
1,10:23,3,5,MIA 30,7,0,Carson Wentz pass incomplete short left intended for Greg Ward,2.680,1.450
1,10:15,4,5,MIA 30,10,0,Jake Elliott 48 yard field goal good,1.450,3.000
1,10:10,,,PHI 35,10,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,10:10,1,10,MIA 25,10,0,"Ryan Fitzpatrick pass incomplete short middle intended for Mike Gesicki. Penalty on Timmy Jernigan: Roughing the Passer, 15 yards. Penalty on Vinny Curry: Defensive Offside, 15 yards (no play)",0.610,1.600
1,10:06,1,10,MIA 40,10,0,Ryan Fitzpatrick pass incomplete short left intended for Durham Smythe,1.600,1.050
