Quarter,Time,Tm,Detail,NOR,TAM
1.0,8:45,Saints,Wil Lutz 44 yard field goal,3,0
,0:50,Saints,Wil Lutz 26 yard field goal,6,0
,0:00,Saints,Michael Thomas 16 yard pass from Drew Brees (Wil Lutz kick),13,0
2.0,5:13,Saints,Jared Cook 3 yard pass from Drew Brees (Wil Lutz kick),20,0
,2:42,Buccaneers,Peyton Barber 6 yard pass from Jameis Winston (Matt Gay kick),20,7
3.0,11:08,Buccaneers,Matt Gay 55 yard field goal,20,10
,5:27,Saints,Ted Ginn Jr. 6 yard pass from Drew Brees (Wil Lutz kick),27,10
,1:22,Buccaneers,Chris Godwin 30 yard pass from Jameis Winston (Matt Gay kick),27,17
4.0,5:07,Saints,Marcus Williams 55 yard interception return (Wil Lutz kick),34,17
