Unnamed: 0,NOR,TAM
First Downs,21,21
Rush-Yds-TDs,28-109-0,8-36-0
Cmp-Att-Yd-TD-INT,28-35-228-3-0,30-51-313-2-4
Sacked-Yards,1-9,2-15
Net Pass Yards,219,298
Total Yards,328,334
Fumbles-Lost,1-0,1-0
Turnovers,0,4
Penalties-Yards,9-76,7-55
Third Down Conv.,7-13,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,37:00,23:00
