Quarter,Time,Tm,Detail,TEN,KAN
2.0,13:35,Chiefs,Cairo Santos 35 yard field goal,0,3
,3:31,Titans,Delanie Walker 5 yard pass from Jake Locker (Ryan Succop kick),7,3
,0:03,Titans,Ryan Succop 36 yard field goal,10,3
3.0,10:26,Titans,Kendall Wright 6 yard pass from Jake Locker (Ryan Succop kick),17,3
,2:46,Titans,Ryan Succop 31 yard field goal,20,3
4.0,12:39,Titans,Ryan Succop 46 yard field goal,23,3
,10:09,Chiefs,Anthony Fasano 5 yard pass from Alex Smith (Cairo Santos kick),23,10
,4:50,Titans,Ryan Succop 47 yard field goal,26,10
