Unnamed: 0,TEN,KAN
First Downs,24,15
Rush-Yds-TDs,38-162-0,17-67-0
Cmp-Att-Yd-TD-INT,22-33-266-2-0,19-35-202-1-3
Sacked-Yards,4-23,4-24
Net Pass Yards,243,178
Total Yards,405,245
Fumbles-Lost,1-0,0-0
Turnovers,0,3
Penalties-Yards,12-110,3-25
Third Down Conv.,7-16,1-12
Fourth Down Conv.,0-0,1-2
Time of Possession,37:44,22:16
