Unnamed: 0,CAR,NOR
First Downs,25,17
Rush-Yds-TDs,37-111-2,27-184-1
Cmp-Att-Yd-TD-INT,18-30-268-2-0,14-22-118-1-1
Sacked-Yards,1-5,2-8
Net Pass Yards,263,110
Total Yards,374,294
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,2-10,6-94
Third Down Conv.,6-13,4-10
Fourth Down Conv.,1-2,0-1
Time of Possession,33:26,26:34
