Quarter,Time,Tm,Detail,CAR,NOR
1.0,10:04,Panthers,Kyle Allen 1 yard rush (Chandler Catanzaro kick),7,0
,2:07,Panthers,Cameron Artis-Payne 15 yard rush (Chandler Catanzaro kick failed),13,0
2.0,2:00,Panthers,Ian Thomas 8 yard pass from Kyle Allen (Chandler Catanzaro kick),20,0
,0:00,Panthers,Chandler Catanzaro 22 yard field goal,23,0
3.0,3:46,Panthers,Curtis Samuel 53 yard pass from Kyle Allen (Chandler Catanzaro kick),30,0
4.0,13:28,Saints,Tre'Quan Smith 9 yard pass from Teddy Bridgewater (Wil Lutz kick),30,7
,8:17,Panthers,Chandler Catanzaro 51 yard field goal,33,7
,3:47,Saints,Taysom Hill 9 yard rush (Wil Lutz kick),33,14
