Quarter,Time,Tm,Detail,ATL,PHI
1.0,4:16,Eagles,Dorsey Levens 4 yard rush (David Akers kick),0,7
2.0,10:19,Falcons,Jay Feely 23 yard field goal,3,7
,4:58,Eagles,Chad Lewis 3 yard pass from Donovan McNabb (David Akers kick),3,14
,2:02,Falcons,Warrick Dunn 10 yard rush (Jay Feely kick),10,14
3.0,8:55,Eagles,David Akers 31 yard field goal,10,17
,2:00,Eagles,David Akers 34 yard field goal,10,20
4.0,3:21,Eagles,Chad Lewis 2 yard pass from Donovan McNabb (David Akers kick),10,27
