Player,Pos
Michael Vick,QB
Warrick Dunn,RB
Dez White,WR
Peerless Price,WR
Alge Crumpler,TE
Eric Beverly,TE
Kevin Shaffer,LT
Roberto Garza,LG
Todd McClure,C
Kynan Forney,RG
Todd Weiner,RT
Patrick Kerney,LDE
Roderick Coleman,LDT
Ed Jasper,RDT
Brady Smith,RDE
Matt Stewart,OLB
Keith Brooking,OLB
Chris Draft,MLB
DeAngelo Hall,LCB
Jason Webster,RCB
Bryan Scott,SS
Cory Hall,FS
