Unnamed: 0,CHI,OAK
First Downs,16,12
Rush-Yds-TDs,34-78-1,30-107-0
Cmp-Att-Yd-TD-INT,17-28-239-1-0,14-27-108-0-1
Sacked-Yards,3-22,3-22
Net Pass Yards,217,86
Total Yards,295,193
Fumbles-Lost,3-0,3-2
Turnovers,0,3
Penalties-Yards,7-50,6-46
Third Down Conv.,5-16,3-15
Fourth Down Conv.,0-0,0-0
Time of Possession,31:37,28:23
