Quarter,Time,Tm,Detail,CHI,OAK
1.0,9:18,Raiders,Sebastian Janikowski 37 yard field goal,0,3
2.0,6:51,Bears,Robbie Gould 32 yard field goal,3,3
4.0,4:04,Raiders,Sebastian Janikowski 52 yard field goal,3,6
,3:11,Bears,Bernard Berrian 59 yard pass from Rex Grossman (Robbie Gould kick),10,6
,1:35,Bears,Cedric Benson 3 yard rush (Robbie Gould kick),17,6
