Unnamed: 0,DEN,ATL
First Downs,23,23
Rush-Yds-TDs,22-103-1,32-92-1
Cmp-Att-Yd-TD-INT,25-48-313-2-1,25-35-284-3-1
Sacked-Yards,1-11,2-13
Net Pass Yards,302,271
Total Yards,405,363
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,5-65,5-61
Third Down Conv.,7-16,6-13
Fourth Down Conv.,0-2,0-0
Time of Possession,26:33,33:27
