Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Matt Ryan pass complete short left to Hayden Hurst for 11 yards (tackle by Josey Jewell),0.610,1.330
1,14:31,1,10,ATL 36,0,0,Todd Gurley left tackle for no gain (tackle by Kareem Jackson),1.330,0.790
1,13:50,2,10,ATL 36,0,0,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by Essang Bassey),0.790,0.760
1,13:12,3,5,ATL 41,0,0,Matt Ryan pass complete short middle to Olamide Zaccheaus for 5 yards (tackle by Michael Ojemudia),0.760,1.990
1,12:37,1,10,ATL 46,0,0,Todd Gurley right tackle for 4 yards (tackle by Justin Simmons),1.990,1.990
1,12:01,2,6,ATL 50,0,0,Todd Gurley left tackle for 13 yards (tackle by Kareem Jackson),1.990,3.120
1,11:29,1,10,DEN 37,0,0,Matt Ryan pass complete short right to Todd Gurley for -4 yards (tackle by Josey Jewell),3.120,2.030
1,10:46,2,14,DEN 41,0,0,Matt Ryan pass complete short right to Hayden Hurst for 7 yards (tackle by Justin Simmons),2.030,2.280
1,10:00,3,7,DEN 34,0,0,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Justin Simmons),2.280,1.060
1,9:56,4,7,DEN 34,0,3,Younghoe Koo 52 yard field goal good,1.060,3.000
1,9:51,,,ATL 35,0,3,"Younghoe Koo kicks off 66 yards, returned by Tyrie Cleveland for 21 yards (tackle by Tyler Hall and Edmond Robinson)",0.000,0.280
1,9:43,1,10,DEN 20,0,3,Phillip Lindsay right tackle for 3 yards (tackle by Deion Jones),0.280,0.140
1,9:11,2,7,DEN 23,0,3,Drew Lock pass complete short left to Noah Fant for 32 yards (tackle by Ricardo Allen),0.140,2.590
1,8:37,1,10,ATL 45,0,3,Phillip Lindsay left tackle for -5 yards (tackle by Grady Jarrett),2.590,1.370
1,8:00,2,15,DEN 50,0,3,Drew Lock pass incomplete short right,1.370,0.700
1,7:54,3,15,DEN 50,0,3,Drew Lock pass complete short right to DaeSean Hamilton for 9 yards (tackle by Isaiah Oliver),0.700,0.530
1,7:09,,,,,,Timeout #1 by Denver Broncos,,
1,7:09,4,6,ATL 41,0,3,"Sam Martin punts 26 yards, fair catch by Brandon Powell at ATL-15",0.530,0.220
1,7:00,1,10,ATL 15,0,3,Todd Gurley left guard for 4 yards (tackle by DeShawn Williams),-0.220,-0.110
1,6:22,2,6,ATL 19,0,3,Todd Gurley left end for 2 yards (tackle by Kareem Jackson),-0.110,-0.630
1,5:53,3,4,ATL 21,0,3,Matt Ryan pass complete short left to Russell Gage for 8 yards (tackle by Essang Bassey),-0.630,0.870
1,5:26,1,10,ATL 29,0,3,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Davontae Harris),0.870,1.140
1,4:55,2,4,ATL 35,0,3,Matt Ryan pass complete short left to Russell Gage for 3 yards (tackle by Kareem Jackson),1.140,0.830
1,4:17,3,1,ATL 38,0,3,Keith Smith left guard for 1 yard (tackle by Josey Jewell),0.830,1.530
1,3:41,1,10,ATL 39,0,3,Brian Hill right guard for 3 yards (tackle by DeShawn Williams),1.530,1.390
1,3:05,2,7,ATL 42,0,3,Brian Hill left end for 8 yards (tackle by Kareem Jackson),1.390,2.260
1,2:26,1,10,ATL 50,0,3,"Penalty on Russell Gage: False Start, 5 yards (no play)",2.260,1.930
1,2:12,1,15,ATL 45,0,3,Brandon Powell left end for 4 yards (tackle by Kareem Jackson),1.930,1.580
1,1:37,2,11,ATL 49,0,3,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by McTelvin Agim),1.580,0.890
1,1:33,3,11,ATL 49,0,9,"Matt Ryan pass complete deep right to Olamide Zaccheaus for 51 yards, touchdown, touchdown. Penalty on Davontae Harris: Defensive Pass Interference (Declined)",0.890,7.000
1,1:24,,,DEN 15,0,10,Younghoe Koo kicks extra point good,0.000,0.000
1,1:24,,,ATL 35,0,10,"Younghoe Koo kicks off 66 yards, returned by Tyrie Cleveland for 24 yards (tackle by Mykal Walker). Penalty on Demar Dotson: Illegal Substitution (Offsetting) . Penalty on Jacob Bobenmoyer: Face Mask (15 Yards) (Offsetting)",0.000,0.480
1,1:14,1,10,DEN 23,0,10,Drew Lock pass complete short right to Jerry Jeudy for 18 yards (tackle by Kendall Sheffield),0.480,1.660
1,0:53,1,10,DEN 41,0,10,Melvin Gordon right guard for 3 yards (tackle by John Cominsky and Foyesade Oluokun),1.660,1.530
1,0:14,2,7,DEN 44,0,10,Drew Lock pass complete short middle to KJ Hamler for 14 yards (tackle by Isaiah Oliver),1.530,2.790
Quarter,Time,Down,ToGo,Location,DEN,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 42,0,10,Melvin Gordon left tackle for 2 yards (tackle by Tyeler Davison),2.790,2.510
2,14:22,2,8,ATL 40,0,10,KJ Hamler right end for 15 yards (tackle by Foyesade Oluokun),2.510,3.910
2,13:47,1,10,ATL 25,0,10,Drew Lock pass incomplete deep right intended for Jerry Jeudy (defended by AJ Terrell),3.910,3.360
2,13:42,2,10,ATL 25,0,10,Drew Lock pass incomplete short right intended for Phillip Lindsay,3.360,2.680
2,13:37,3,10,ATL 25,0,10,Drew Lock pass incomplete deep right intended for Tim Patrick,2.680,1.800
2,13:32,4,10,ATL 25,3,10,Brandon McManus 43 yard field goal good,1.800,3.000
2,13:27,,,DEN 35,3,10,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,13:27,1,10,ATL 25,3,10,Matt Ryan pass incomplete short middle intended for Russell Gage,0.610,0.060
2,13:12,2,10,ATL 25,3,10,Matt Ryan pass complete short right to Christian Blake for 7 yards (tackle by Davontae Harris),0.060,0.300
2,12:42,3,3,ATL 32,3,10,Matt Ryan pass complete short left to Olamide Zaccheaus for 5 yards (tackle by Alexander Johnson),0.300,1.400
2,12:11,1,10,ATL 37,3,10,Matt Ryan pass complete short middle to Julio Jones for 11 yards (tackle by Josey Jewell),1.400,2.130
2,11:30,1,10,ATL 48,3,10,Todd Gurley right guard for -3 yards (tackle by Essang Bassey),2.130,1.180
2,11:01,2,13,ATL 45,3,10,Matt Ryan pass complete deep right to Olamide Zaccheaus for 42 yards (tackle by Davontae Harris),1.180,4.710
2,10:14,1,10,DEN 13,3,10,Matt Ryan pass incomplete short left intended for Russell Gage,4.710,4.050
2,10:09,2,10,DEN 13,3,10,Todd Gurley right guard for 4 yards (tackle by Malik Reed),4.050,3.880
2,9:23,3,6,DEN 9,3,16,"Matt Ryan pass complete short right to Brandon Powell for 9 yards, touchdown",3.880,7.000
2,9:18,,,DEN 15,3,17,Younghoe Koo kicks extra point good,0.000,0.000
2,9:18,,,ATL 35,3,17,"Younghoe Koo kicks off 63 yards, returned by Tyrie Cleveland for 27 yards (tackle by Younghoe Koo and Jaeden Graham)",0.000,0.870
2,9:10,1,10,DEN 29,3,17,Drew Lock sacked by Foyesade Oluokun for -11 yards,0.870,-1.260
2,8:34,2,21,DEN 18,3,17,Phillip Lindsay left guard for 6 yards (tackle by Blidi Wreh-Wilson and Grady Jarrett),-1.260,-1.020
2,8:01,3,15,DEN 24,3,17,Drew Lock pass complete short left to Melvin Gordon for 9 yards (tackle by Foyesade Oluokun),-1.020,-1.180
2,7:25,4,6,DEN 33,3,17,"Sam Martin punts 64 yards, returned by Brandon Powell for 13 yards (tackle by Austin Calitro)",-1.180,0.140
2,7:12,1,10,ATL 16,3,17,Brian Hill right guard for 5 yards (tackle by Josey Jewell),-0.140,0.150
2,6:37,2,5,ATL 21,3,17,Matt Ryan pass complete short right to Hayden Hurst for 6 yards (tackle by Justin Simmons),0.150,0.740
2,6:00,1,10,ATL 27,3,17,Matt Ryan pass complete short middle to Luke Stocker for 12 yards (tackle by Dre'Mont Jones),0.740,1.530
2,5:27,1,10,ATL 39,3,17,Brian Hill left guard for 8 yards (tackle by Josey Jewell),1.530,2.070
2,5:02,2,2,ATL 47,3,17,Brian Hill right tackle for -4 yards (tackle by Essang Bassey),2.070,0.830
2,4:29,3,6,ATL 43,3,17,"Matt Ryan pass incomplete short right intended for Julio Jones (defended by Davontae Harris). Penalty on Davontae Harris: Defensive Pass Interference, 14 yards (no play)",0.830,2.720
2,4:23,1,10,DEN 43,3,17,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by McTelvin Agim and Justin Simmons),2.720,3.450
2,3:51,1,10,DEN 32,3,17,Brian Hill left guard for -2 yards (tackle by Anthony Chickillo and Josey Jewell),3.450,2.630
2,3:12,2,12,DEN 34,3,17,Matt Ryan pass complete deep right to Christian Blake for 21 yards (tackle by Kevin Toliver),2.630,4.710
2,2:39,1,10,DEN 13,3,17,Todd Gurley right guard for 3 yards (tackle by Josey Jewell),4.710,4.580
2,2:00,2,7,DEN 10,3,17,Matt Ryan pass incomplete short left intended for Olamide Zaccheaus (defended by Dre'Mont Jones),4.580,3.650
2,1:57,3,7,DEN 10,3,17,Matt Ryan sacked by Dre'Mont Jones for -7 yards,3.650,2.310
2,1:48,,,,,,Timeout #2 by Denver Broncos,,
2,1:48,4,14,DEN 17,3,20,Younghoe Koo 35 yard field goal good,2.310,3.000
2,1:44,,,ATL 35,3,20,"Younghoe Koo kicks off 58 yards, returned by KJ Hamler for 24 yards (tackle by Mykal Walker)",0.000,1.000
2,1:35,1,10,DEN 31,3,20,Drew Lock pass complete short right to Tim Patrick for 7 yards (tackle by AJ Terrell and Keanu Neal),1.000,1.410
2,1:10,2,3,DEN 38,3,20,Drew Lock pass incomplete short right,1.410,0.700
2,1:06,3,3,DEN 38,3,20,Drew Lock pass complete short middle to KJ Hamler for 9 yards (tackle by Pita Taumoepenu),0.700,2.060
2,0:47,1,10,DEN 47,3,20,Drew Lock pass incomplete short middle intended for KJ Hamler,2.060,1.520
