Unnamed: 0,PIT,CIN
First Downs,17,19
Rush-Yds-TDs,28-102-1,19-100-1
Cmp-Att-Yd-TD-INT,22-31-276-1-1,20-37-183-1-0
Sacked-Yards,1-5,2-10
Net Pass Yards,271,173
Total Yards,373,273
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-51,4-30
Third Down Conv.,6-12,3-12
Fourth Down Conv.,0-1,3-3
Time of Possession,34:42,25:18
