Quarter,Time,Tm,Detail,PIT,CIN
1.0,6:55,Steelers,Jeff Reed 19 yard field goal,3,0
,1:02,Steelers,Willie Parker 27 yard pass from Ben Roethlisberger (Jeff Reed kick),10,0
2.0,12:44,Steelers,Jeff Reed 24 yard field goal,13,0
,0:00,Bengals,Shayne Graham 34 yard field goal,13,3
3.0,13:35,Bengals,Johnathan Joseph 30 yard interception return (run failed),13,9
,3:00,Steelers,Ben Roethlisberger 1 yard rush (Jeff Reed kick),20,9
4.0,9:14,Bengals,Cedric Benson 23 yard rush (pass failed),20,15
,0:14,Bengals,Andre Caldwell 4 yard pass from Carson Palmer (Brian Leonard pass from Carson Palmer),20,23
