Quarter,Time,Tm,Detail,KAN,BUF
1,1:17,Chiefs,Lawrence Tynes 35 yard field goal,3,0
2,1:53,Bills,Lee Evans 33 yard pass from J.P. Losman (Rian Lindell kick),3,7
3,8:16,Bills,Lee Evans 29 yard pass from J.P. Losman (Rian Lindell kick),3,14
