Unnamed: 0,KAN,BUF
First Downs,22,9
Rush-Yds-TDs,32-150-0,28-61-0
Cmp-Att-Yd-TD-INT,23-40-220-0-3,13-22-162-2-0
Sacked-Yards,6-54,2-14
Net Pass Yards,166,148
Total Yards,316,209
Fumbles-Lost,2-1,2-2
Turnovers,4,2
Penalties-Yards,8-65,5-37
Third Down Conv.,6-16,3-13
Fourth Down Conv.,0-2,0-1
Time of Possession,34:43,25:17
