Unnamed: 0,CAR,ATL
First Downs,27,23
Rush-Yds-TDs,18-121-0,32-170-2
Cmp-Att-Yd-TD-INT,32-45-335-3-1,23-28-272-2-1
Sacked-Yards,2-17,0-0
Net Pass Yards,318,272
Total Yards,439,442
Fumbles-Lost,0-0,3-0
Turnovers,1,1
Penalties-Yards,7-49,2-26
Third Down Conv.,5-11,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,30:18,29:42
