Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Chase Edmonds left end for 8 yards (tackle by Tedric Thompson),0.610,1.140
1,14:28,2,2,ARI 33,0,0,David Johnson up the middle for 5 yards (tackle by Bobby Wagner and K.J. Wright),1.140,1.470
1,14:01,1,10,ARI 38,0,0,Kyler Murray sacked by Mychal Kendricks for -5 yards,1.470,0.250
1,13:25,2,15,ARI 33,0,0,Kyler Murray pass complete short left to David Johnson for 7 yards (tackle by Mychal Kendricks),0.250,0.500
1,12:53,3,8,ARI 40,0,0,Kyler Murray pass complete short right to Trent Sherfield for 15 yards (tackle by Ezekiel Ansah),0.500,2.590
1,12:17,1,10,SEA 45,0,0,Kyler Murray pass complete short left to David Johnson for 6 yards (tackle by Ezekiel Ansah),2.590,2.850
1,11:42,2,4,SEA 39,0,0,Chase Edmonds up the middle for 7 yards (tackle by K.J. Wright),2.850,3.450
1,11:08,1,10,SEA 32,0,0,Chase Edmonds left end for 5 yards (tackle by Bradley McDougald),3.450,3.580
1,10:27,2,5,SEA 27,0,0,Kyler Murray pass complete short left to Larry Fitzgerald for 1 yard (tackle by Mychal Kendricks),3.580,3.010
1,9:52,3,4,SEA 26,0,0,Kyler Murray pass incomplete short right intended for KeeSean Johnson (defended by Shaquill Griffin),3.010,1.810
1,9:48,4,4,SEA 26,0,0,Zane Gonzalez 43 yard field goal no good,1.810,-1.140
1,9:43,1,10,SEA 33,0,0,Russell Wilson pass complete short left to Tyler Lockett for 8 yards (tackle by Byron Murphy),1.140,1.670
1,9:18,2,2,SEA 41,0,0,Chris Carson left tackle for no gain (tackle by Terrell Suggs and Haason Reddick),1.670,0.960
1,8:38,3,2,SEA 41,0,0,Russell Wilson pass complete short left to Jaron Brown for 8 yards (tackle by Chris Jones),0.960,2.190
1,7:56,1,10,SEA 49,0,0,Russell Wilson pass complete short left to Will Dissly for 6 yards (tackle by Chris Jones),2.190,2.460
1,7:23,2,4,ARI 45,0,0,Chris Carson left tackle for 8 yards (tackle by Byron Murphy),2.460,3.120
1,6:47,1,10,ARI 37,0,0,Chris Carson up the middle for 5 yards (tackle by Jordan Hicks),3.120,3.250
1,6:07,2,5,ARI 32,0,0,Russell Wilson pass complete short middle to Will Dissly for 17 yards (tackle by Budda Baker),3.250,4.580
1,5:24,1,10,ARI 15,0,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,4.580,3.950
1,5:20,2,10,ARI 15,0,0,Russell Wilson pass incomplete short right,3.950,3.100
1,5:13,3,10,ARI 15,0,0,Russell Wilson pass incomplete short left intended for D.K. Metcalf,3.100,2.440
1,5:03,4,10,ARI 15,3,0,Jason Myers 33 yard field goal good,2.440,3.000
1,4:59,,,SEA 35,3,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,4:59,1,10,ARI 25,3,0,Kyler Murray pass complete short right to David Johnson for 5 yards (tackle by Bobby Wagner and Shaquill Griffin),0.610,0.740
1,4:23,2,5,ARI 30,9,0,"Kyler Murray pass short right intended for David Johnson is intercepted by Jadeveon Clowney at ARI-27 and returned for 27 yards, touchdown",0.740,-7.000
1,4:15,,,ARI 15,10,0,Jason Myers kicks extra point good,0.000,0.000
1,4:15,,,SEA 35,10,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,4:15,1,10,ARI 25,10,0,"Andy Isabella left end for 5 yards (tackle by Bradley McDougald). Penalty on Maxx Williams: Offensive Holding, 10 yards",0.610,0.280
1,3:54,1,15,ARI 20,10,0,David Johnson up the middle for 4 yards (tackle by Mychal Kendricks),0.280,-0.070
1,3:23,2,11,ARI 24,10,0,Kyler Murray pass complete short left to Charles Clay for 3 yards (tackle by Tre Flowers),-0.070,-0.360
1,2:43,3,8,ARI 27,10,0,Kyler Murray pass complete short left to David Johnson for 10 yards (tackle by Tre Flowers),-0.360,1.400
1,2:03,1,10,ARI 37,10,0,Chase Edmonds left end for 6 yards (tackle by Mychal Kendricks and Tre Flowers),1.400,1.670
1,1:23,2,4,ARI 43,10,0,Kyler Murray pass complete short right to Christian Kirk for 6 yards (tackle by Shaquill Griffin and Tedric Thompson),1.670,2.190
1,0:50,1,10,ARI 49,10,0,David Johnson up the middle for no gain (tackle by Bobby Wagner),2.190,1.650
1,0:17,2,10,ARI 49,10,0,Kyler Murray pass complete short middle to David Johnson for 31 yards (tackle by Tedric Thompson and Bradley McDougald),1.650,4.240
Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 20,10,0,David Johnson up the middle for 1 yard (tackle by Poona Ford and K.J. Wright),4.240,3.820
2,14:27,2,9,SEA 19,10,0,Kyler Murray pass incomplete deep left intended for Trent Sherfield,3.820,3.100
2,14:20,,,,,,Timeout #1 by Arizona Cardinals,,
2,14:20,3,9,SEA 19,10,0,Kyler Murray left end for 4 yards (tackle by Tre Flowers),3.100,2.490
2,13:54,4,5,SEA 15,10,3,Zane Gonzalez 33 yard field goal good,2.490,3.000
2,13:49,,,ARI 35,10,3,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,13:49,1,10,SEA 25,10,3,Chris Carson up the middle for -1 yards (tackle by Haason Reddick),0.610,-0.070
2,13:06,2,11,SEA 24,10,3,Russell Wilson pass complete short left to Chris Carson for 7 yards (tackle by Chris Jones and Haason Reddick),-0.070,0.170
2,12:23,3,4,SEA 31,10,3,Russell Wilson pass complete short middle to Jaron Brown for 32 yards (tackle by Budda Baker),0.170,3.120
