Unnamed: 0,SEA,ARI
First Downs,21,20
Rush-Yds-TDs,27-115-1,23-115-1
Cmp-Att-Yd-TD-INT,22-28-240-1-0,22-32-241-0-1
Sacked-Yards,4-15,4-35
Net Pass Yards,225,206
Total Yards,340,321
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,7-65,7-44
Third Down Conv.,4-10,3-9
Fourth Down Conv.,0-0,0-0
Time of Possession,33:24,26:36
