Unnamed: 0,ATL,NOR
First Downs,21,32
Rush-Yds-TDs,33-160-1,32-211-2
Cmp-Att-Yd-TD-INT,11-23-112-1-1,22-33-259-2-1
Sacked-Yards,1-6,2-14
Net Pass Yards,106,245
Total Yards,266,456
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,10-79,8-55
Third Down Conv.,7-12,3-7
Fourth Down Conv.,0-0,0-0
Time of Possession,26:34,33:26
