Unnamed: 0,NWE,BAL
First Downs,22,26
Rush-Yds-TDs,17-74-1,41-210-3
Cmp-Att-Yd-TD-INT,30-46-285-1-1,17-23-163-1-0
Sacked-Yards,2-17,1-1
Net Pass Yards,268,162
Total Yards,342,372
Fumbles-Lost,2-1,2-2
Turnovers,2,2
Penalties-Yards,7-48,4-34
Third Down Conv.,5-13,5-10
Fourth Down Conv.,0-0,1-1
Time of Possession,22:59,37:01
