Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BAL 25,0,0,Lamar Jackson pass complete short right to Nick Boyle for 2 yards (tackle by Jason McCourty),0.610,0.330
1,14:21,2,8,BAL 27,0,0,Mark Ingram right guard for 3 yards (tackle by Danny Shelton and Kyle Van Noy),0.330,0.040
1,13:47,3,5,BAL 30,0,0,Lamar Jackson pass complete short middle to Marquise Brown for 6 yards (tackle by Shilique Calhoun),0.040,1.330
1,13:05,1,10,BAL 36,0,0,Mark Ingram right end for 13 yards (tackle by Patrick Chung),1.330,2.190
1,12:32,1,10,BAL 49,0,0,Lamar Jackson pass complete short middle to Marquise Brown for 26 yards (tackle by Devin McCourty),2.190,3.910
1,11:59,1,10,NWE 25,0,0,Lamar Jackson right guard for 5 yards (tackle by Kyle Van Noy),3.910,4.040
1,11:21,2,5,NWE 20,0,0,Lamar Jackson pass complete short left to Hayden Hurst for 7 yards (tackle by Dont'a Hightower),4.040,4.710
1,10:42,1,10,NWE 13,0,0,Lamar Jackson right guard for 5 yards (tackle by Kyle Van Noy),4.710,4.960
1,9:59,2,5,NWE 8,0,0,Mark Ingram up the middle for 3 yards (tackle by Kyle Van Noy),4.960,4.780
1,9:19,3,2,NWE 5,0,0,Gus Edwards up the middle for -1 yards (tackle by Lawrence Guy),4.780,3.010
1,8:36,4,3,NWE 6,0,0,"Penalty on Shilique Calhoun: Neutral Zone Infraction, 3 yards (no play)",3.010,6.510
1,8:20,1,3,NWE 3,0,6,"Lamar Jackson left end for 3 yards, touchdown",6.510,7.000
1,8:13,,,NWE 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,8:13,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,8:13,1,10,NWE 25,0,7,Tom Brady pass incomplete short right intended for James White,0.610,0.060
1,8:10,2,10,NWE 25,0,7,Tom Brady pass incomplete deep middle intended for Mohamed Sanu,0.060,-0.620
1,8:04,3,10,NWE 25,0,7,Tom Brady pass incomplete short right,-0.620,-1.700
1,8:00,4,10,NWE 25,0,7,"Jake Bailey punts 57 yards, returned by Cyrus Jones for 7 yards (tackle by Justin Bethel)",-1.700,-0.610
1,7:49,1,10,BAL 25,0,7,Mark Ingram left guard for 14 yards (tackle by Devin McCourty),0.610,1.530
1,7:09,1,10,BAL 39,0,7,Lamar Jackson pass complete short middle to Hayden Hurst for 8 yards (tackle by Elandon Roberts and Patrick Chung),1.530,2.070
1,6:27,2,2,BAL 47,0,7,Lamar Jackson pass incomplete short middle intended for Miles Boykin (defended by Jason McCourty),2.070,1.360
1,6:22,3,2,BAL 47,0,7,Lamar Jackson pass complete short left to Mark Andrews for 3 yards (tackle by Jason McCourty),1.360,2.260
1,5:49,1,10,BAL 50,0,7,Lamar Jackson right guard for 18 yards (tackle by Devin McCourty),2.260,3.450
1,5:13,1,10,NWE 32,0,7,Lamar Jackson left end for 6 yards (tackle by John Simon),3.450,3.710
1,4:38,2,4,NWE 26,0,7,Mark Ingram up the middle for 5 yards (tackle by Dont'a Hightower and Danny Shelton),3.710,4.170
1,4:01,1,10,NWE 21,0,7,Mark Ingram up the middle for 1 yard (tackle by Dont'a Hightower and Jamie Collins),4.170,3.760
1,3:24,2,9,NWE 20,0,7,Lamar Jackson sacked by Lawrence Guy for -1 yards,3.760,2.940
1,2:38,3,10,NWE 21,0,7,Lamar Jackson pass incomplete short left intended for Seth Roberts,2.940,2.060
1,2:33,4,10,NWE 21,0,10,Justin Tucker 39 yard field goal good,2.060,3.000
1,2:29,,,BAL 35,0,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,2:29,1,10,NWE 25,0,10,Sony Michel left guard for 10 yards (tackle by Marlon Humphrey),0.610,1.270
1,2:08,1,10,NWE 35,0,10,Sony Michel right guard for 3 yards (tackle by Jaylon Ferguson),1.270,1.130
1,1:51,2,7,NWE 38,0,10,Sony Michel right guard for no gain (tackle by Josh Bynes),1.130,0.430
1,1:29,3,7,NWE 38,0,10,Tom Brady sacked by Patrick Onwuasor for -9 yards,0.430,-1.440
1,0:52,4,16,NWE 29,0,10,Jake Bailey punts 48 yards downed by Justin Bethel,-1.440,-0.480
1,0:41,1,10,BAL 23,0,10,Lamar Jackson pass complete short middle to Nick Boyle for 7 yards (tackle by Patrick Chung),0.480,0.880
1,0:09,2,3,BAL 30,0,10,"Penalty on Adam Butler: Neutral Zone Infraction, 5 yards (no play)",0.880,1.270
Quarter,Time,Down,ToGo,Location,NWE,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 35,0,10,Mark Ingram left guard for 53 yards (tackle by J.C. Jackson),1.270,4.780
2,14:11,1,10,NWE 12,0,16,"Gus Edwards left guard for 12 yards, touchdown",4.780,7.000
2,14:06,,,NWE 15,0,17,Justin Tucker kicks extra point good,0.000,0.000
2,14:06,,,BAL 35,0,17,"Justin Tucker kicks off 61 yards, returned by Brandon Bolden for 27 yards (tackle by L.J. Fort)",0.000,1.000
2,14:00,1,10,NWE 31,0,17,Tom Brady pass complete short left to Phillip Dorsett for 6 yards (tackle by Jimmy Smith),1.000,1.270
2,13:38,2,4,NWE 37,0,17,Rex Burkhead right tackle for 3 yards (tackle by Patrick Onwuasor),1.270,0.960
2,12:55,3,1,NWE 40,0,17,Tom Brady pass incomplete short middle intended for Rex Burkhead (defended by Marcus Peters),0.960,-0.720
2,12:50,4,1,NWE 40,0,17,"Jake Bailey punts 41 yards, muffed catch by Cyrus Jones, recovered by Justin Bethel at BAL-20 (tackle by Cyrus Jones)",-0.720,4.240
2,12:41,1,10,BAL 20,0,17,Tom Brady pass complete short right to James White for 16 yards (tackle by Marcus Peters),4.240,6.280
2,12:15,1,4,BAL 4,0,17,Tom Brady pass incomplete short left intended for Phillip Dorsett (defended by Jimmy Smith),6.280,5.340
2,12:11,2,4,BAL 4,0,17,Tom Brady pass incomplete short middle,5.340,4.490
2,12:06,3,4,BAL 4,6,17,"Tom Brady pass complete short left to Mohamed Sanu for 4 yards, touchdown",4.490,7.000
2,12:02,,,BAL 15,7,17,Nick Folk kicks extra point good,0.000,0.000
2,12:02,,,NWE 35,7,17,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,12:02,1,10,BAL 25,7,17,Lamar Jackson left end for 2 yards (tackle by Devin McCourty),0.610,0.330
2,11:27,2,8,BAL 27,7,17,Lamar Jackson pass incomplete deep left intended for Mark Andrews,0.330,-0.360
2,11:18,3,8,BAL 27,7,17,Lamar Jackson left tackle for 2 yards (tackle by Jonathan Jones and Dont'a Hightower),-0.360,-1.440
2,10:35,4,6,BAL 29,7,17,Sam Koch punts 50 yards downed by Bennett Jackson,-1.440,-0.340
2,10:26,1,10,NWE 21,7,17,Tom Brady pass complete short right to Mohamed Sanu for 6 yards (tackle by Marcus Peters),0.340,0.610
2,10:12,2,4,NWE 27,7,17,Tom Brady pass complete short middle to Sony Michel for 12 yards (tackle by Patrick Onwuasor),0.610,1.530
2,9:33,1,10,NWE 39,7,17,Tom Brady pass complete short left to Mohamed Sanu for 10 yards (tackle by Chuck Clark),1.530,2.190
2,9:18,1,10,NWE 49,7,17,Tom Brady pass complete short middle to Julian Edelman for 13 yards (tackle by Patrick Onwuasor and Marlon Humphrey),2.190,3.050
2,8:45,1,10,BAL 38,7,17,Sony Michel left guard for 5 yards (tackle by Patrick Onwuasor),3.050,3.180
2,8:07,2,5,BAL 33,7,17,"Tom Brady pass incomplete deep left. Penalty on Tom Brady: Intentional Grounding, 10 yards",3.180,1.160
2,8:02,3,15,BAL 43,7,17,"Tom Brady pass complete short middle to Phillip Dorsett for 15 yards (tackle by Jimmy Smith). Penalty on Marshall Newhouse: Offensive Holding, 10 yards (no play)",1.160,-0.160
2,7:38,3,25,NWE 47,7,17,Tom Brady pass complete short middle to Rex Burkhead for 16 yards (tackle by Anthony Levine),-0.160,0.790
2,7:29,4,9,BAL 37,7,17,Jake Bailey punts 31 yards downed by Nate Ebner,0.790,0.380
2,7:19,1,10,BAL 6,7,17,Gus Edwards right tackle for 5 yards (tackle by Kyle Van Noy and Danny Shelton),-0.380,-0.420
2,6:38,2,5,BAL 11,7,17,"Mark Ingram right guard for 5 yards (tackle by Kyle Van Noy). Mark Ingram fumbles (forced by Kyle Van Noy), recovered by Lawrence Guy at BAL-19 (tackle by Marshal Yanda)",-0.420,-4.310
2,6:29,1,10,BAL 19,7,17,Tom Brady pass complete short left to Julian Edelman for 4 yards (tackle by Marlon Humphrey),4.310,4.350
2,6:04,2,6,BAL 15,7,17,Tom Brady pass complete short middle to Mohamed Sanu for 8 yards (tackle by Chuck Clark and L.J. Fort),4.350,5.600
