Quarter,Time,Tm,Detail,NWE,BAL
1.0,8:13,Ravens,Lamar Jackson 3 yard rush (Justin Tucker kick),0,7
,2:29,Ravens,Justin Tucker 39 yard field goal,0,10
2.0,14:06,Ravens,Gus Edwards 12 yard rush (Justin Tucker kick),0,17
,12:02,Patriots,Mohamed Sanu 4 yard pass from Tom Brady (Nick Folk kick),7,17
,3:41,Patriots,Nick Folk 22 yard field goal,10,17
,0:08,Patriots,Nick Folk 19 yard field goal,13,17
3.0,12:21,Ravens,Marlon Humphrey 70 yard fumble return (Justin Tucker kick),13,24
,8:03,Patriots,James White 1 yard rush (Nick Folk kick),20,24
4.0,14:54,Ravens,Nick Boyle 5 yard pass from Lamar Jackson (Justin Tucker kick failed),20,30
,3:12,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),20,37
