Unnamed: 0,CAR,NYG
First Downs,28,21
Rush-Yds-TDs,29-171-0,27-161-1
Cmp-Att-Yd-TD-INT,25-45-340-5-0,29-46-245-4-1
Sacked-Yards,3-31,0-0
Net Pass Yards,309,245
Total Yards,480,406
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,7-88,7-47
Third Down Conv.,9-17,6-15
Fourth Down Conv.,0-0,2-2
Time of Possession,30:52,29:08
