Unnamed: 0,DAL,LAR
First Downs,19,30
Rush-Yds-TDs,22-50-2,48-273-3
Cmp-Att-Yd-TD-INT,20-32-266-1-0,15-28-186-0-0
Sacked-Yards,1-8,0-0
Net Pass Yards,258,186
Total Yards,308,459
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,4-26,4-41
Third Down Conv.,1-10,5-11
Fourth Down Conv.,3-4,2-2
Time of Possession,23:47,36:13
