Quarter,Time,Tm,Detail,DAL,LAR
1.0,9:44,Rams,Greg Zuerlein 25 yard field goal,0,3
,6:03,Cowboys,Amari Cooper 29 yard pass from Dak Prescott (Brett Maher kick),7,3
2.0,13:40,Rams,Greg Zuerlein 23 yard field goal,7,6
,7:00,Rams,C.J. Anderson 1 yard rush (Greg Zuerlein kick),7,13
,3:27,Rams,Todd Gurley 35 yard rush (Greg Zuerlein kick),7,20
3.0,10:03,Rams,Greg Zuerlein 44 yard field goal,7,23
,5:20,Cowboys,Ezekiel Elliott 1 yard rush (Amari Cooper pass from Dak Prescott),15,23
4.0,7:16,Rams,C.J. Anderson 1 yard rush (Greg Zuerlein kick),15,30
,2:11,Cowboys,Dak Prescott 1 yard rush (Brett Maher kick),22,30
