Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley left guard for 3 yards (tackle by Jaylon Smith),0.610,0.470
1,14:34,2,7,LAR 28,0,0,Jared Goff pass complete short right to Tyler Higbee for 19 yards (tackle by Xavier Woods),0.470,2.060
1,13:59,1,10,LAR 47,0,0,Todd Gurley right tackle for 3 yards (tackle by Maliek Collins),2.060,1.920
1,13:25,2,7,LAR 50,0,0,"Penalty on Antwaun Woods: Neutral Zone Infraction, 5 yards (no play)",1.920,2.600
1,13:07,2,2,DAL 45,0,0,Todd Gurley left tackle for 4 yards (tackle by Jaylon Smith),2.600,2.850
1,12:31,1,10,DAL 41,0,0,Todd Gurley left tackle for 9 yards (tackle by Leighton Vander Esch),2.850,3.520
1,12:04,2,1,DAL 32,0,0,"Penalty on Demarcus Lawrence: Neutral Zone Infraction, 6 yards (no play)",3.520,3.840
1,11:46,1,10,DAL 26,0,0,Jared Goff pass incomplete short right intended for Josh Reynolds,3.840,3.300
1,11:44,2,10,DAL 26,0,0,C.J. Anderson up the middle for 12 yards (tackle by Leighton Vander Esch and Jeff Heath),3.300,4.650
1,11:05,1,10,DAL 14,0,0,C.J. Anderson up the middle for 3 yards (tackle by Chidobe Awuzie and Xavier Woods),4.650,4.520
1,10:33,2,7,DAL 11,0,0,C.J. Anderson left guard for 4 yards (tackle by Caraun Reid),4.520,4.500
1,9:50,3,3,DAL 7,0,0,Jared Goff pass incomplete short left intended for Gerald Everett,4.500,2.990
1,9:47,4,3,DAL 7,0,3,Greg Zuerlein 25 yard field goal good,2.990,3.000
1,9:44,,,LAR 35,0,3,"Greg Zuerlein kicks off 64 yards, returned by Jourdan Lewis for no gain (tackle by Micah Kiser)",0.000,0.870
1,9:39,1,10,DAL 29,0,3,Ezekiel Elliott right tackle for no gain (tackle by Ndamukong Suh),0.870,0.330
1,9:02,2,10,DAL 29,0,3,Dak Prescott pass complete short left to Blake Jarwin for 13 yards (tackle by Mark Barron),0.330,1.730
1,8:33,1,10,DAL 42,0,3,Ezekiel Elliott left guard for 2 yards (tackle by Michael Brockers and Cory Littleton),1.730,1.460
1,7:55,2,8,DAL 44,0,3,Ezekiel Elliott left tackle for 1 yard (tackle by Dante Fowler),1.460,0.890
1,7:13,3,7,DAL 45,0,3,Dak Prescott pass complete short middle to Amari Cooper for 6 yards (tackle by John Johnson),0.890,0.000
1,6:28,4,1,LAR 49,0,3,"Ezekiel Elliott up the middle for 5 yards (tackle by Cory Littleton and John Johnson). Penalty on Marcus Peters: Unnecessary Roughness, 15 yards",0.000,3.640
1,6:10,1,10,LAR 29,6,3,"Dak Prescott pass complete short middle to Amari Cooper for 29 yards, touchdown",3.640,7.000
1,6:03,,,LAR 15,7,3,Brett Maher kicks extra point good,0.000,0.000
1,6:03,,,DAL 35,7,3,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,6:03,1,10,LAR 25,7,3,Todd Gurley up the middle for 3 yards (tackle by Demarcus Lawrence),0.610,0.470
1,5:24,2,7,LAR 28,7,3,Todd Gurley right end for 3 yards (tackle by Antwaun Woods),0.470,0.170
1,4:43,3,4,LAR 31,7,3,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Jourdan Lewis),0.170,1.330
1,4:05,1,10,LAR 36,7,3,Jared Goff pass incomplete deep left intended for Tyler Higbee,1.330,0.790
1,4:00,2,10,LAR 36,7,3,Jared Goff pass incomplete short middle intended for Robert Woods (defended by Jeff Heath),0.790,0.100
1,3:55,3,10,LAR 36,7,3,Jared Goff pass complete short middle to Brandin Cooks for 9 yards (tackle by Byron Jones),0.100,-0.390
1,3:15,4,1,LAR 45,7,3,Jared Goff up the middle for 3 yards (tackle by Maliek Collins),-0.390,2.130
1,2:44,1,10,LAR 48,7,3,Josh Reynolds left end for 9 yards (tackle by Jeff Heath),2.130,2.800
1,2:03,2,1,DAL 43,7,3,C.J. Anderson up the middle for 15 yards (tackle by Jeff Heath),2.800,3.710
1,1:16,,,,,,Timeout #1 by Los Angeles Rams,,
1,1:16,1,10,DAL 28,7,3,Jared Goff pass complete short right to Robert Woods for 9 yards (tackle by Chidobe Awuzie),3.710,4.420
1,0:31,2,1,DAL 19,7,3,C.J. Anderson up the middle for -1 yards (tackle by Maliek Collins),4.420,3.530
Quarter,Time,Down,ToGo,Location,DAL,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DAL 20,7,3,C.J. Anderson up the middle for 11 yards (tackle by Leighton Vander Esch and Jeff Heath),3.530,5.140
2,14:26,1,9,DAL 9,7,3,Jared Goff pass incomplete short right intended for Brandin Cooks (defended by Byron Jones),5.140,4.380
2,14:21,2,9,DAL 9,7,3,C.J. Anderson left tackle for 4 yards (tackle by Jaylon Smith),4.380,4.260
2,13:48,3,5,DAL 5,7,3,Jared Goff pass incomplete short left intended for Brandin Cooks,4.260,3.010
2,13:43,4,5,DAL 5,7,6,Greg Zuerlein 23 yard field goal good,3.010,3.000
2,13:40,,,LAR 35,7,6,"Greg Zuerlein kicks off 62 yards, returned by Jourdan Lewis for no gain (tackle by Troy Hill)",0.000,-0.060
2,13:35,1,10,DAL 17,7,6,Dak Prescott pass complete short middle to Dalton Schultz for 20 yards (tackle by Lamarcus Joyner),-0.060,1.400
2,12:57,1,10,DAL 37,7,6,Ezekiel Elliott left end for 3 yards (tackle by Cory Littleton),1.400,1.260
2,12:18,2,7,DAL 40,7,6,Dak Prescott pass complete short right to Tavon Austin for -2 yards (tackle by Samson Ebukam),1.260,0.300
2,11:37,3,9,DAL 38,7,6,Dak Prescott pass incomplete short right intended for Michael Gallup,0.300,-0.850
2,11:31,4,9,DAL 38,7,6,Chris Jones punts 38 yards downed by Joe Thomas,-0.850,-0.540
2,11:20,1,10,LAR 24,7,6,Todd Gurley left end for 4 yards (tackle by Sean Lee and Antwaun Woods),0.540,0.540
2,10:48,2,6,LAR 28,7,6,Jared Goff pass complete deep left to Brandin Cooks for 20 yards (tackle by Byron Jones),0.540,2.130
2,10:02,1,10,LAR 48,7,6,Jared Goff pass complete short middle to Robert Woods for 16 yards (tackle by Sean Lee),2.130,3.180
2,9:29,1,10,DAL 36,7,6,Jared Goff pass complete short left to Tyler Higbee for 11 yards (tackle by Jaylon Smith),3.180,3.910
2,8:45,1,10,DAL 25,7,6,Todd Gurley right tackle for 8 yards (tackle by Sean Lee and Jaylon Smith),3.910,4.550
2,8:03,2,2,DAL 17,7,6,C.J. Anderson right tackle for 2 yards (tackle by Sean Lee and Damien Wilson),4.550,4.580
2,7:30,1,10,DAL 15,7,6,Jared Goff pass incomplete short right intended for Tyler Higbee,4.580,3.950
2,7:26,2,10,DAL 15,7,6,C.J. Anderson up the middle for 14 yards (tackle by Xavier Woods),3.950,6.970
2,7:05,1,1,DAL 1,7,12,"C.J. Anderson left guard for 1 yard, touchdown",6.970,7.000
2,7:00,,,DAL 15,7,13,Greg Zuerlein kicks extra point good,0.000,0.000
2,7:00,,,LAR 35,7,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,7:00,1,10,DAL 25,7,13,Ezekiel Elliott up the middle for 5 yards (tackle by Cory Littleton),0.610,0.740
2,6:23,2,5,DAL 30,7,13,Dak Prescott pass incomplete short left intended for Amari Cooper (defended by Samson Ebukam),0.740,0.040
2,6:20,,,,,,Timeout #1 by Dallas Cowboys,,
2,6:20,3,5,DAL 30,7,13,Dak Prescott pass incomplete short middle intended for Amari Cooper,0.040,-1.370
2,6:16,4,5,DAL 30,7,13,"Chris Jones punts 46 yards, returned by Jojo Natson for 12 yards (tackle by Joe Thomas and L.P. Ladouceur)",-1.370,-1.330
2,6:05,1,10,LAR 36,7,13,C.J. Anderson left guard for 6 yards (tackle by Antwaun Woods),1.330,1.600
2,5:27,2,4,LAR 42,7,13,C.J. Anderson right guard for 7 yards (tackle by Sean Lee and Xavier Woods),1.600,2.190
2,5:01,1,10,LAR 49,7,13,Jared Goff pass incomplete short left intended for C.J. Anderson,2.190,1.650
2,4:54,2,10,LAR 49,7,13,Jared Goff pass complete short left to Todd Gurley for -4 yards (tackle by Caraun Reid and Anthony Brown),1.650,0.430
2,4:13,3,14,LAR 45,7,13,"Jared Goff pass incomplete short right intended for Gerald Everett. Penalty on Byron Jones: Illegal Use of Hands, 5 yards (no play)",0.430,2.260
2,4:08,1,10,LAR 50,7,13,Jared Goff pass complete short middle to Brandin Cooks for 15 yards (tackle by Chidobe Awuzie),2.260,3.250
2,3:35,1,10,DAL 35,7,19,"Todd Gurley right guard for 35 yards, touchdown",3.250,7.000
2,3:27,,,DAL 15,7,20,Greg Zuerlein kicks extra point good,0.000,0.000
2,3:27,,,LAR 35,7,20,"Greg Zuerlein kicks off 64 yards, returned by Jourdan Lewis for no gain (tackle by John Kelly)",0.000,0.150
2,3:22,1,10,DAL 19,7,20,Dak Prescott pass complete short right to Ezekiel Elliott for 12 yards (tackle by Aqib Talib),0.150,1.000
2,2:54,1,10,DAL 31,7,20,Dak Prescott pass complete short right to Amari Cooper for 5 yards (tackle by Aqib Talib and Cory Littleton),1.000,1.140
2,2:25,2,5,DAL 36,7,20,Ezekiel Elliott right guard for 15 yards (tackle by Aqib Talib),1.140,2.320
2,2:00,1,10,LAR 49,7,20,Ezekiel Elliott up the middle for 6 yards (tackle by Ndamukong Suh and Michael Brockers),2.320,2.590
2,1:37,2,4,LAR 43,7,20,Dak Prescott pass incomplete short right intended for Amari Cooper,2.590,1.880
2,1:31,3,4,LAR 43,7,20,Dak Prescott pass complete short right to Blake Jarwin for 4 yards (tackle by John Johnson),1.880,2.980
2,1:26,1,10,LAR 39,7,20,Ezekiel Elliott right end for 3 yards (tackle by Aqib Talib),2.980,2.850
2,0:55,2,7,LAR 36,7,20,Dak Prescott pass incomplete short right intended for Michael Gallup,2.850,2.150
2,0:52,3,7,LAR 36,7,20,Dak Prescott sacked by Dante Fowler for -8 yards,2.150,0.330
2,0:45,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:44,4,15,LAR 44,7,20,"Chris Jones punts 35 yards, returned by Sam Shields for 17 yards (tackle by Noah Brown)",0.330,-0.670
2,0:35,1,10,LAR 26,7,20,Todd Gurley left tackle for 8 yards,0.670,1.210
2,0:28,2,2,LAR 34,7,20,Jared Goff pass complete short middle to Todd Gurley for 7 yards (tackle by Anthony Brown),1.210,1.660
2,0:21,,,,,,Timeout #3 by Los Angeles Rams,,
