Quarter,Time,Tm,Detail,PHI,ATL
1.0,3:06,Falcons,Michael Vick 7 yard rush (Todd Peterson kick),0,7
,0:09,Falcons,T.J. Duckett 1 yard rush (Todd Peterson kick),0,14
2.0,11:21,Eagles,Brian Westbrook 9 yard pass from Donovan McNabb (David Akers kick),7,14
4.0,9:20,Eagles,David Akers 44 yard field goal,10,14
