Unnamed: 0,PHI,ATL
First Downs,18,18
Rush-Yds-TDs,14-51-0,40-200-2
Cmp-Att-Yd-TD-INT,24-45-257-1-1,12-23-156-0-1
Sacked-Yards,2-7,4-37
Net Pass Yards,250,119
Total Yards,301,319
Fumbles-Lost,3-2,3-2
Turnovers,3,3
Penalties-Yards,8-55,7-88
Third Down Conv.,3-12,3-15
Fourth Down Conv.,0-1,1-1
Time of Possession,26:09,33:51
