Quarter,Time,Tm,Detail,BAL,CIN
1.0,10:01,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),0,7
2.0,9:15,Ravens,Justin Tucker 45 yard field goal,3,7
,1:02,Ravens,Justin Tucker 50 yard field goal,6,7
3.0,9:56,Bengals,Giovani Bernard 1 yard rush (Mike Nugent kick),6,14
,6:29,Bengals,Mike Nugent 32 yard field goal,6,17
,1:58,Ravens,Lorenzo Taliaferro 10 yard rush (Justin Forsett run),14,17
4.0,11:24,Bengals,Mike Nugent 33 yard field goal,14,20
,6:31,Ravens,Lorenzo Taliaferro 8 yard rush (Justin Tucker kick),21,20
,3:59,Ravens,Justin Tucker 53 yard field goal,24,20
,0:57,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),24,27
