Unnamed: 0,BAL,CIN
First Downs,18,19
Rush-Yds-TDs,26-107-2,34-111-3
Cmp-Att-Yd-TD-INT,17-34-195-0-2,21-28-266-0-1
Sacked-Yards,1-8,2-27
Net Pass Yards,187,239
Total Yards,294,350
Fumbles-Lost,1-0,2-1
Turnovers,2,2
Penalties-Yards,7-51,6-40
Third Down Conv.,5-13,8-14
Fourth Down Conv.,1-3,1-1
Time of Possession,29:16,30:44
