Unnamed: 0,TEN,OAK
First Downs,23,24
Rush-Yds-TDs,16-43-2,21-90-0
Cmp-Att-Yd-TD-INT,32-46-398-2-4,29-39-381-4-0
Sacked-Yards,2-11,2-7
Net Pass Yards,387,374
Total Yards,430,464
Fumbles-Lost,0-0,2-1
Turnovers,4,1
Penalties-Yards,11-77,10-117
Third Down Conv.,6-10,3-9
Fourth Down Conv.,0-1,0-0
Time of Possession,30:25,29:35
