Quarter,Time,Tm,Detail,TEN,OAK
1.0,14:39,Raiders,Charlie Garner 17 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
,11:06,Raiders,Phillip Buchanon 83 yard punt return (Sebastian Janikowski kick),0,14
,9:36,Raiders,Terry Kirby 79 yard punt return (Sebastian Janikowski kick),0,21
,2:43,Titans,Eddie George 1 yard rush (Joe Nedney kick),7,21
2.0,13:42,Raiders,Sebastian Janikowski 28 yard field goal,7,24
,0:57,Raiders,Jerry Rice 10 yard pass from Rich Gannon (Sebastian Janikowski kick),7,31
3.0,10:10,Raiders,Rod Woodson 82 yard interception return (Sebastian Janikowski kick),7,38
,7:08,Titans,John Simon 3 yard rush (pass failed),13,38
,0:30,Titans,Drew Bennett 6 yard pass from Steve McNair (pass failed),19,38
4.0,11:39,Titans,Justin McCareins 49 yard pass from Steve McNair (pass failed),25,38
,7:30,Raiders,Jerry Porter 10 yard pass from Rich Gannon (Sebastian Janikowski kick),25,45
,5:21,Raiders,Tim Brown 41 yard pass from Rich Gannon (Sebastian Janikowski kick),25,52
