Unnamed: 0,SDG,NWE
First Downs,14,25
Rush-Yds-TDs,20-52-0,32-144-1
Cmp-Att-Yd-TD-INT,19-30-179-2-2,25-31-279-3-1
Sacked-Yards,3-30,2-16
Net Pass Yards,149,263
Total Yards,201,407
Fumbles-Lost,2-1,3-1
Turnovers,3,2
Penalties-Yards,7-75,6-67
Third Down Conv.,4-11,3-8
Fourth Down Conv.,1-1,1-1
Time of Possession,24:14,35:46
