Unnamed: 0,CHI,NYG
First Downs,23,18
Rush-Yds-TDs,32-118-1,29-141-0
Cmp-Att-Yd-TD-INT,27-40-286-2-2,20-36-219-2-1
Sacked-Yards,5-28,3-22
Net Pass Yards,258,197
Total Yards,376,338
Fumbles-Lost,6-1,0-0
Turnovers,3,1
Penalties-Yards,8-58,12-107
Third Down Conv.,2-15,6-17
Fourth Down Conv.,4-5,2-2
Time of Possession,33:58,33:13
