Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 67 yards, muffed catch by Taquan Mizzell returned by Taquan Mizzell for no gain (tackle by Michael Thomas and Nathan Stupar)",0.000,-0.220
1,14:55,1,10,CHI 15,0,0,Jordan Howard right guard for -2 yards (tackle by Grant Haley and Tae Davis),-0.220,-0.920
1,14:22,2,12,CHI 13,0,6,"Chase Daniel pass short left intended for Tarik Cohen is intercepted by Alec Ogletree at CHI-8 and returned for 8 yards, touchdown. Penalty on Chase Daniel: Horse Collar Tackle, 15 yards",-0.920,-7.000
1,14:14,,,NYG 50,0,7,"Aldrick Rosas kicks off 49 yards, returned by Taquan Mizzell for no gain (tackle by Ukeme Eligwe)",0.000,-0.350
1,14:08,1,10,CHI 12,0,7,Tarik Cohen left end for 1 yard (tackle by Janoris Jenkins and Alec Ogletree),-0.350,-0.700
1,13:39,2,9,CHI 13,0,7,"Chase Daniel pass complete short right to Taylor Gabriel for 10 yards (tackle by Alec Ogletree). Penalty on Josh Bellamy: Illegal Shift, 5 yards (no play)",-0.700,-1.070
1,13:16,2,14,CHI 8,0,7,Chase Daniel pass incomplete short left intended for Allen Robinson (defended by Janoris Jenkins),-1.070,-1.890
1,13:12,3,14,CHI 8,0,7,Chase Daniel pass complete short left to Tarik Cohen for 2 yards (tackle by Mario Edwards),-1.890,-2.490
1,12:37,4,12,CHI 10,0,7,Pat O'Donnell punts 65 yards downed by Josh Bellamy,-2.490,-0.610
1,12:21,1,10,NYG 25,0,7,Saquon Barkley left guard for 2 yards (tackle by Akiem Hicks and Danny Trevathan),0.610,0.330
1,11:46,2,8,NYG 27,0,7,Saquon Barkley right guard for 3 yards (tackle by Eddie Goldman),0.330,0.040
1,11:16,3,5,NYG 30,0,7,Eli Manning pass incomplete short middle intended for Odell Beckham,0.040,-1.370
1,11:04,4,5,NYG 30,0,7,"Riley Dixon punts 54 yards, returned by Tarik Cohen for 15 yards (tackle by Riley Dixon)",-1.370,-1.000
1,10:54,1,10,CHI 31,0,7,Jordan Howard left guard for 4 yards (tackle by Mario Edwards),1.000,1.000
1,10:22,2,6,CHI 35,0,7,Taquan Mizzell right guard for 4 yards (tackle by Dalvin Tomlinson and Alec Ogletree),1.000,0.830
1,9:41,3,2,CHI 39,0,7,Chase Daniel pass incomplete short middle intended for Allen Robinson (defended by Janoris Jenkins),0.830,-0.780
1,9:36,4,2,CHI 39,0,7,"Pat O'Donnell punts 43 yards, fair catch by Jawill Davis at NYG-18",-0.780,-0.040
1,9:28,1,10,NYG 18,0,7,Eli Manning pass incomplete deep left intended for Odell Beckham (defended by Eddie Jackson),0.040,-0.490
1,9:20,2,10,NYG 18,0,7,Saquon Barkley up the middle for 4 yards (tackle by Eddie Goldman and Bilal Nichols),-0.490,-0.660
1,8:38,3,6,NYG 22,0,7,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Kyle Fuller),-0.660,-1.900
1,8:33,4,6,NYG 22,0,7,"Riley Dixon punts 53 yards downed by Antonio Hamilton. Penalty on Antonio Hamilton: Illegal Touch Kick, 5 yards",-1.900,-0.940
1,8:21,1,10,CHI 30,0,7,"Chase Daniel pass incomplete short middle intended for Allen Robinson (defended by Landon Collins). Penalty on Landon Collins: Defensive Pass Interference, 13 yards (no play)",0.940,1.800
1,8:15,1,10,CHI 43,0,7,Jordan Howard up the middle for no gain (tackle by Alec Ogletree and Dalvin Tomlinson),1.800,1.250
1,7:37,2,10,CHI 43,0,7,Chase Daniel pass incomplete deep right intended for Taylor Gabriel (defended by Olivier Vernon),1.250,0.560
1,7:29,3,10,CHI 43,0,7,Chase Daniel pass complete short right to Taquan Mizzell for 9 yards (tackle by Sean Chandler),0.560,0.070
1,6:59,4,1,NYG 48,0,7,Tarik Cohen right guard for 8 yards (tackle by Janoris Jenkins),0.070,2.920
1,6:24,1,10,NYG 40,0,7,Jordan Howard right guard for 3 yards (tackle by Olivier Vernon and Alec Ogletree),2.920,2.780
1,5:47,2,7,NYG 37,0,7,Jordan Howard left tackle for 2 yards (tackle by Tae Davis),2.780,2.340
1,5:12,3,5,NYG 35,0,7,Jordan Howard right tackle for 22 yards (tackle by Olivier Vernon),2.340,4.710
1,4:35,1,10,NYG 13,0,7,Jordan Howard left tackle for 8 yards (tackle by Curtis Riley),4.710,5.540
1,3:56,2,2,NYG 5,0,7,Jordan Howard left tackle for 3 yards (tackle by Alec Ogletree and Dalvin Tomlinson),5.540,6.740
1,3:32,1,2,NYG 2,6,7,"Chase Daniel pass complete short right to Adam Shaheen for 2 yards, touchdown",6.740,7.000
1,3:28,,,NYG 15,7,7,Cody Parkey kicks extra point good,0.000,0.000
1,3:28,,,CHI 35,7,7,"Cody Parkey kicks off 65 yards, returned by Corey Coleman for no gain (tackle by Ben Braunecker and DeAndre Houston-Carson)",0.000,0.410
1,3:21,1,10,NYG 22,7,7,Eli Manning pass complete short middle to Odell Beckham for 20 yards (tackle by Danny Trevathan and Eddie Jackson),0.410,1.730
1,2:49,1,10,NYG 42,7,7,"Saquon Barkley right tackle for 3 yards (tackle by Danny Trevathan and Eddie Goldman). Penalty on Spencer Pulley: Offensive Holding, 10 yards",1.730,1.270
1,2:17,1,17,NYG 35,7,7,Eli Manning pass incomplete short right intended for Saquon Barkley,1.270,0.240
1,2:12,2,17,NYG 35,7,7,Eli Manning pass complete short middle to Rhett Ellison for 9 yards (tackle by Eddie Jackson and Roquan Smith),0.240,0.760
1,1:29,3,8,NYG 44,7,7,Eli Manning pass complete short left to Russell Shepard for 10 yards (tackle by Prince Amukamara),0.760,2.520
1,0:53,1,10,CHI 46,7,7,Eli Manning pass short right intended for Odell Beckham is intercepted by Kyle Fuller at CHI-39 and returned for 8 yards,2.520,-2.060
1,0:46,1,10,CHI 47,7,7,Tarik Cohen left tackle for 3 yards (tackle by Landon Collins and Dalvin Tomlinson),2.060,1.920
Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CHI 50,7,7,Chase Daniel pass complete short left to Allen Robinson for 12 yards,1.920,3.050
2,14:23,1,10,NYG 38,7,7,Tarik Cohen left tackle for -1 yards (tackle by Mario Edwards and Alec Ogletree),3.050,2.370
2,13:46,2,11,NYG 39,7,7,"Taquan Mizzell up the middle for 1 yard (tackle by Kareem Martin and Michael Thomas). Penalty on Mario Edwards: Unnecessary Roughness, 15 yards",2.370,4.040
2,13:16,1,10,NYG 23,7,7,Chase Daniel pass short left intended for Tarik Cohen is intercepted by Alec Ogletree at NYG-14 and returned for 20 yards,4.040,-1.200
2,13:04,1,10,NYG 34,7,7,Eli Manning pass incomplete short right intended for Rhett Ellison (defended by Khalil Mack),1.200,0.660
2,12:59,2,10,NYG 34,7,7,Saquon Barkley left tackle for 6 yards (tackle by Leonard Floyd and Jonathan Bullard),0.660,0.760
2,12:21,3,4,NYG 40,7,7,Eli Manning pass incomplete short left intended for Odell Beckham (defended by Prince Amukamara),0.760,-0.720
2,12:16,4,4,NYG 40,7,7,Riley Dixon punts 40 yards out of bounds,-0.720,-0.280
2,12:07,1,10,CHI 20,7,7,Chase Daniel pass complete short right to Tarik Cohen for 6 yards (tackle by B.W. Webb),0.280,0.540
2,11:36,2,4,CHI 26,7,7,Taquan Mizzell right tackle for 2 yards (tackle by Kareem Martin and Kerry Wynn),0.540,0.100
