Quarter,Time,Tm,Detail,JAX,PIT
1.0,10:03,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),0,7
,9:39,Jaguars,Fred Taylor 1 yard rush (Josh Scobee kick),7,7
2.0,10:19,Jaguars,Rashean Mathis 63 yard interception return (Josh Scobee kick),14,7
,8:34,Jaguars,Maurice Jones-Drew 43 yard pass from David Garrard (Josh Scobee kick),21,7
3.0,9:24,Steelers,Jeff Reed 28 yard field goal,21,10
,4:39,Jaguars,Maurice Jones-Drew 10 yard rush (Josh Scobee kick),28,10
4.0,14:53,Steelers,Santonio Holmes 37 yard pass from Ben Roethlisberger (Jeff Reed kick),28,17
,10:25,Steelers,Heath Miller 14 yard pass from Ben Roethlisberger,28,23
,6:21,Steelers,Najeh Davenport 1 yard rush (pass failed),28,29
,0:37,Jaguars,Josh Scobee 25 yard field goal,31,29
