Unnamed: 0,JAX,PIT
First Downs,14,24
Rush-Yds-TDs,29-135-2,26-43-2
Cmp-Att-Yd-TD-INT,9-21-140-1-2,29-42-337-2-3
Sacked-Yards,4-36,6-40
Net Pass Yards,104,297
Total Yards,239,340
Fumbles-Lost,0-0,1-1
Turnovers,2,4
Penalties-Yards,6-40,5-50
Third Down Conv.,4-11,7-14
Fourth Down Conv.,1-1,1-1
Time of Possession,27:01,32:59
