Quarter,Time,Tm,Detail,HOU,NWE
1.0,8:06,Patriots,Kevin Faulk 11 yard rush (Stephen Gostkowski kick),0,7
,6:38,Patriots,Stephen Gostkowski 36 yard field goal,0,10
,3:31,Patriots,Kevin Faulk 43 yard pass from Tom Brady (Stephen Gostkowski kick),0,17
2.0,9:47,Patriots,Stephen Gostkowski 32 yard field goal,0,20
,1:11,Patriots,Jabar Gaffney 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,27
3.0,9:49,Texans,Ron Dayne 1 yard rush (Kris Brown kick),7,27
,9:37,Patriots,Ellis Hobbs 93 yard kickoff return (Stephen Gostkowski kick),7,34
4.0,14:18,Patriots,Stephen Gostkowski 31 yard field goal,7,37
,12:00,Patriots,Stephen Gostkowski 21 yard field goal,7,40
