Quarter,Time,Down,ToGo,Location,CHI,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 66 yards, returned by Laurence Maroney for 23 yards (tackle by Danieal Manning)",0.000,0.740
1,14:52,1,10,NWE 27,0,0,Corey Dillon for 3 yards,0.740,0.600
1,14:27,2,7,NWE 30,0,0,Tom Brady pass incomplete short right intended for Ben Watson,0.600,-0.100
1,14:23,3,7,NWE 30,0,0,Tom Brady pass incomplete short right intended for Reche Caldwell,-0.100,-1.370
1,14:19,4,7,NWE 30,0,0,"Ken Walter punts 45 yards, fair catch by Devin Hester",-1.370,-0.610
1,14:11,1,10,CHI 25,0,0,Rex Grossman pass complete short right to Muhsin Muhammad for 5 yards (tackle by Asante Samuel),0.610,0.740
1,13:37,2,5,CHI 30,0,0,Rex Grossman pass incomplete short left intended for Thomas Jones,0.740,0.040
1,13:34,3,5,CHI 30,0,0,Rex Grossman pass incomplete short right intended for Bernard Berrian is intercepted by Asante Samuel at CHI-39,0.040,-2.980
1,13:30,1,10,CHI 39,0,0,Laurence Maroney middle for 3 yards (tackle by Todd Johnson),2.980,2.850
1,12:54,2,7,CHI 36,0,0,Tom Brady pass complete short middle to Ben Watson for 10 yards (tackle by Brian Urlacher and Lance Briggs),2.850,3.840
1,12:16,1,10,CHI 26,0,0,Tom Brady pass incomplete short middle intended for Ben Watson,3.840,3.300
1,12:12,2,10,CHI 26,0,0,Laurence Maroney right tackle for 2 yards (tackle by Adewale Ogunleye and Lance Briggs),3.300,2.870
1,11:31,3,8,CHI 24,0,0,Tom Brady pass incomplete deep middle intended for Ben Watson is intercepted by Charles Tillman at CHI-1 and returned for 5 yards,2.870,0.380
1,11:21,1,10,CHI 6,0,0,Thomas Jones right tackle for 1 yard (tackle by Ty Warren and Rosevelt Colvin),-0.380,-0.710
1,10:49,2,9,CHI 7,0,0,Thomas Jones left end for 8 yards (tackle by James Sanders),-0.710,-0.370
1,10:12,3,1,CHI 15,0,0,Rex Grossman pass complete short left to Desmond Clark for 9 yards (tackle by Tedy Bruschi),-0.370,0.540
1,9:39,1,10,CHI 24,0,0,Rex Grossman pass incomplete deep right intended for Muhsin Muhammad,0.540,0.000
1,9:34,2,10,CHI 24,0,0,Thomas Jones right end for no gain (tackle by Ty Warren and James Sanders),0.000,-0.690
1,8:50,3,10,CHI 24,0,0,Rex Grossman pass complete short right to Bernard Berrian for 13 yards (tackle by Asante Samuel),-0.690,1.400
1,8:07,1,10,CHI 37,0,0,Rex Grossman pass incomplete deep left intended for Bernard Berrian,1.400,0.860
1,8:00,2,10,CHI 37,0,0,Thomas Jones left guard for no gain (tackle by Rosevelt Colvin and Jarvis Green),0.860,0.170
1,7:19,3,10,CHI 37,0,0,Rex Grossman pass complete short left to Mark Bradley for 15 yards (tackle by Ellis Hobbs). Penalty on Ellis Hobbs: Illegal Contact (Declined),0.170,2.390
1,7:05,1,10,NWE 48,0,0,Thomas Jones left tackle for 2 yards (tackle by Rosevelt Colvin),2.390,2.120
1,6:32,2,8,NWE 46,0,0,Rex Grossman pass complete deep left to Bernard Berrian for 21 yards (tackle by James Sanders and Artrell Hawkins),2.120,3.910
1,5:50,1,10,NWE 25,0,0,Thomas Jones right end for 3 yards (tackle by Asante Samuel),3.910,3.770
1,5:13,2,7,NWE 22,0,0,Rex Grossman pass incomplete deep right intended for Muhsin Muhammad,3.770,3.070
1,5:08,3,7,NWE 22,0,0,Rex Grossman pass incomplete deep middle intended for Bernard Berrian,3.070,1.990
1,5:02,4,7,NWE 22,0,0,"Robbie Gould 40 yard field goal good. Penalty on Alfonso Boone: False Start, 5 yards (no play)",1.990,1.670
1,5:02,4,12,NWE 27,0,0,"Robbie Gould 45 yard field goal no good, blocked by Richard Seymour",1.670,-1.270
1,4:58,1,10,NWE 35,0,0,Corey Dillon left end for 1 yard (tackle by Brian Urlacher),1.270,0.860
1,4:19,2,9,NWE 36,0,0,Tom Brady pass complete short left to Laurence Maroney for 4 yards (tackle by Hunter Hillenmeyer and Nathan Vasher),0.860,0.700
1,3:38,3,5,NWE 40,0,0,Tom Brady pass complete short right to Troy Brown for 13 yards (tackle by Lance Briggs and Charles Tillman),0.700,2.460
1,3:07,1,10,CHI 47,0,0,"Corey Dillon right tackle for 26 yards (tackle by Danieal Manning). Penalty on Danieal Manning: Unnecessary Roughness, 10 yards",2.460,4.840
1,2:45,1,10,CHI 11,0,0,"Laurence Maroney middle for -4 yards (tackle by Lance Briggs). Laurence Maroney fumbles (forced by Lance Briggs), recovered by Lance Briggs at CHI-15",4.840,0.220
1,2:38,1,10,CHI 15,0,0,Cedric Benson left guard for 3 yards (tackle by Vince Wilfork and Jarvis Green),-0.220,-0.280
1,2:04,2,7,CHI 18,0,0,Rex Grossman pass complete short left to Bernard Berrian for 13 yards (tackle by Ellis Hobbs),-0.280,1.000
1,1:26,1,10,CHI 31,0,0,Cedric Benson left tackle for 14 yards (tackle by Artrell Hawkins and Ellis Hobbs),1.000,1.930
1,0:49,1,10,CHI 45,0,0,Cedric Benson middle for 1 yard (tackle by Vince Wilfork and Mike Vrabel),1.930,1.520
1,0:13,2,9,CHI 46,0,0,Rex Grossman pass complete deep right to Bernard Berrian for 47 yards (tackle by Asante Samuel),1.520,5.600
,,,,,,,"NWE challenged the ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,CHI,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,7,NWE 7,0,0,Rex Grossman pass incomplete short right intended for Jason McKie,5.600,4.760
2,14:55,2,7,NWE 7,0,0,Cedric Benson left tackle for 2 yards (tackle by Rosevelt Colvin and Tedy Bruschi),4.760,4.260
2,14:15,3,5,NWE 5,0,0,"Rex Grossman for no gain. Rex Grossman fumbles, recovered by Richard Seymour at NWE-8 (tackle by Ruben Brown)",4.260,0.380
2,14:12,1,10,NWE 8,0,0,Laurence Maroney right guard for 7 yards (tackle by Adewale Ogunleye and Brian Urlacher),-0.380,-0.210
2,13:38,2,3,NWE 15,0,0,Laurence Maroney left tackle for -1 yards (tackle by Brian Urlacher and Hunter Hillenmeyer),-0.210,-0.720
2,13:07,3,4,NWE 14,0,0,Tom Brady pass complete short left to Kevin Faulk for 7 yards (tackle by Brendon Ayanbadejo),-0.720,0.340
2,12:31,1,10,NWE 21,0,0,Tom Brady pass complete deep middle to Daniel Graham for 25 yards (tackle by Hunter Hillenmeyer),0.340,1.990
2,11:48,1,10,NWE 46,0,0,Tom Brady pass complete short right to Ben Watson for 9 yards (tackle by Chris Harris),1.990,2.670
2,11:30,2,1,CHI 45,0,0,Laurence Maroney left tackle for 3 yards (tackle by Chris Harris and Danieal Manning),2.670,2.790
2,10:54,1,10,CHI 42,0,0,Tom Brady pass complete short left to Reche Caldwell for 15 yards (tackle by Nathan Vasher),2.790,3.780
2,10:29,1,10,CHI 27,0,0,Laurence Maroney middle for 6 yards (tackle by Ian Scott and Brian Urlacher),3.780,4.040
2,9:53,2,4,CHI 21,0,0,Laurence Maroney left guard for 8 yards (tackle by Chris Harris),4.040,4.710
2,9:30,1,10,CHI 13,0,0,Tom Brady pass complete short right to Laurence Maroney for 12 yards (tackle by Charles Tillman),4.710,6.970
2,9:08,1,1,CHI 1,0,6,"Laurence Maroney right guard for 1 yard, touchdown",6.970,7.000
2,9:08,,,CHI 2,0,7,"Stephen Gostkowski kicks extra point good. Penalty on Devin Hester: Defensive Offside, 5 yards",0.000,0.000
2,9:07,,,NWE 35,0,7,"Stephen Gostkowski kicks off 68 yards, returned by Rashied Davis for 28 yards (tackle by Patrick Pass)",0.000,0.610
2,9:02,1,10,CHI 25,0,7,Rex Grossman pass incomplete short right intended for Desmond Clark,0.610,0.060
2,8:57,2,10,CHI 25,0,7,Cedric Benson right tackle for no gain (tackle by Junior Seau),0.060,-0.620
2,8:35,3,10,CHI 25,0,7,Rex Grossman pass complete short left to Muhsin Muhammad for 14 yards (tackle by Mike Vrabel),-0.620,1.530
2,7:58,1,10,CHI 39,0,7,Cedric Benson middle for 16 yards (tackle by Artrell Hawkins and Richard Seymour),1.530,2.590
2,7:21,1,10,NWE 45,0,7,Rex Grossman pass complete short right to John Gilmore for 2 yards (tackle by Vince Wilfork),2.590,2.310
2,6:38,2,8,NWE 43,0,7,Jason McKie middle for 7 yards (tackle by Richard Seymour and Tully Banta-Cain),2.310,2.540
2,6:00,3,1,NWE 36,0,7,Thomas Jones middle for 1 yard (tackle by Vince Wilfork),2.540,3.250
2,5:35,1,10,NWE 35,0,7,Rex Grossman pass complete short right to John Gilmore for 3 yards (tackle by Rosevelt Colvin),3.250,3.110
2,4:52,2,7,NWE 32,0,7,Cedric Benson middle for 3 yards (tackle by Tully Banta-Cain and Richard Seymour),3.110,2.810
2,4:14,3,4,NWE 29,0,7,Rex Grossman pass incomplete short right intended for Rashied Davis,2.810,1.560
2,4:09,4,4,NWE 29,3,7,Robbie Gould 46 yard field goal good,1.560,3.000
2,4:04,,,CHI 30,3,7,"Robbie Gould kicks off 63 yards, muffed catch by Laurence Maroney, recovered by Laurence Maroney at NE-9, and returned for 35 yards",0.000,1.860
2,3:56,1,10,NWE 44,3,7,Tom Brady pass complete short right to Corey Dillon for 3 yards (tackle by Hunter Hillenmeyer),1.860,1.720
2,3:29,2,7,NWE 47,3,7,Corey Dillon right tackle for -4 yards (tackle by Tank Johnson),1.720,0.500
2,2:50,3,11,NWE 43,3,7,Tom Brady pass incomplete deep left intended for Chad Jackson,0.500,-0.520
