Quarter,Time,Tm,Detail,NWE,DEN
1.0,5:37,Patriots,Adam Vinatieri 39 yard field goal,3,0
2.0,12:36,Broncos,Tatum Bell 3 yard rush (Jason Elam kick),3,7
,7:52,Broncos,Rod Smith 6 yard pass from Jake Plummer (Jason Elam kick),3,14
,0:48,Broncos,Kyle Johnson 1 yard pass from Jake Plummer (Jason Elam kick),3,21
3.0,10:36,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),3,28
,5:53,Patriots,Adam Vinatieri 38 yard field goal,6,28
4.0,14:56,Patriots,Patrick Pass 8 yard rush (Adam Vinatieri kick),13,28
,8:01,Patriots,David Givens 8 yard pass from Tom Brady (Adam Vinatieri kick),20,28
