Unnamed: 0,NWE,DEN
First Downs,22,20
Rush-Yds-TDs,19-89-1,34-178-2
Cmp-Att-Yd-TD-INT,24-46-299-1-0,17-24-262-2-0
Sacked-Yards,0-0,1-8
Net Pass Yards,299,254
Total Yards,388,432
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,8-55,11-82
Third Down Conv.,6-16,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,27:43,32:17
