Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete to Patrick Pass for 4 yards (tackle by Al Wilson),0.280,0.270
1,14:24,2,6,NWE 24,0,0,Patrick Pass up the middle for 2 yards (tackle by Michael Myers),0.270,-0.160
1,13:41,3,4,NWE 26,0,0,Tom Brady pass complete to David Givens for 9 yards (tackle by Domonique Foxworth),-0.160,1.270
1,13:18,1,10,NWE 35,0,0,Tom Brady pass complete to Deion Branch for 9 yards (tackle by D.J. Williams),1.270,1.940
1,12:34,2,1,NWE 44,0,0,Amos Zereoue right guard for 3 yards (tackle by Trevor Pryce and Ian Gold),1.940,2.060
1,11:59,1,10,NWE 47,0,0,Amos Zereoue left end for no gain (tackle by Michael Myers and Al Wilson),2.060,1.520
1,11:16,2,10,NWE 47,0,0,Tom Brady pass complete to David Givens for 2 yards (tackle by D.J. Williams),1.520,1.090
1,10:36,3,8,NWE 49,0,0,Tom Brady pass incomplete intended for Deion Branch,1.090,-0.130
1,10:32,4,8,NWE 49,0,0,"Josh Miller punts 48 yards. Penalty on Curome Cox: Personal Foul, 1 yards",-0.130,0.380
1,10:21,1,10,DEN 2,0,0,Mike Anderson left guard for 1 yard (tackle by Jarvis Green),-0.380,-0.710
1,9:43,2,9,DEN 3,0,0,Mike Anderson right tackle for -2 yards (tackle by Willie McGinest and Mike Vrabel),-0.710,-1.540
1,9:04,3,11,DEN 1,0,0,Jake Plummer pass complete to Tatum Bell for 6 yards (tackle by Chad Brown),-1.540,-2.490
1,8:22,4,5,DEN 7,0,0,"Todd Sauerbrun punts 49 yards. Penalty on Cecil Sapp: Illegal Formation, 5 yards",-2.490,-2.720
1,8:12,1,10,DEN 43,0,0,Tom Brady pass complete to Deion Branch for 13 yards. Penalty on Trevor Pryce: Defensive Offside (Declined),2.720,3.580
1,7:56,1,10,DEN 30,0,0,Amos Zereoue up the middle for 2 yards (tackle by Michael Myers),3.580,3.300
1,7:14,2,8,DEN 28,0,0,Amos Zereoue left tackle for 2 yards (tackle by Nick Ferguson),3.300,2.870
1,6:32,3,6,DEN 26,0,0,"Tom Brady pass incomplete intended for David Givens. Penalty on Gerard Warren: Defensive Offside, 5 yards (no play)",2.870,3.530
1,6:18,3,1,DEN 21,0,0,Patrick Pass left tackle for no gain (tackle by Al Wilson),3.530,2.210
1,5:42,,,,0,0,Timeout #1 by New England Patriots,0.000,2.210
1,5:42,4,1,DEN 21,3,0,Adam Vinatieri 39 yard field goal good,2.210,3.000
1,,,,NWE 30,3,0,"Adam Vinatieri kicks off 72 yards, returned by D.J. Williams for 30 yards (tackle by Don Davis)",0.000,0.810
1,5:31,1,10,DEN 28,3,0,Tatum Bell up the middle for 2 yards (tackle by Chad Brown and Mike Vrabel),0.810,0.530
1,4:56,2,8,DEN 30,3,0,Jake Plummer pass complete to Jeb Putzier for 11 yards (tackle by Mike Vrabel),0.530,1.660
1,4:17,1,10,DEN 41,3,0,Mike Anderson right guard for 5 yards (tackle by Mike Vrabel),1.660,1.800
1,3:43,2,5,DEN 46,3,0,"Mike Anderson left tackle for 1 yard (tackle by Vince Wilfork). Penalty on Ben Hamilton: Offensive Holding, 10 yards (no play)",1.800,0.450
1,3:29,2,15,DEN 36,3,0,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Asante Samuel),0.450,-0.230
1,3:24,3,15,DEN 36,3,0,Jake Plummer pass incomplete intended for Charlie Adams,-0.230,-0.980
1,3:18,4,15,DEN 36,3,0,"Todd Sauerbrun punts 50 yards, returned by Tim Dwight for 2 yards (tackle by Nick Ferguson). Penalty on Matt Chatham: Offensive Holding, 8 yards",-0.980,0.380
1,3:04,1,10,NWE 8,3,0,"Tom Brady pass complete to Deion Branch for 19 yards (tackle by Domonique Foxworth). Penalty on Domonique Foxworth: Face Mask (15 Yards), 15 yards",-0.380,1.730
1,2:32,1,10,NWE 42,3,0,Amos Zereoue left guard for no gain (tackle by Ian Gold),1.730,1.190
1,1:51,2,10,NWE 42,3,0,Tom Brady pass complete to Patrick Pass for 7 yards (tackle by Al Wilson),1.190,1.420
1,1:21,3,3,NWE 49,3,0,Tom Brady pass incomplete intended for David Givens (defended by John Lynch),1.420,-0.130
1,1:15,4,3,NWE 49,3,0,"Josh Miller punts 51 yards, touchback. Penalty on Matt Chatham: Offensive Holding, 10 yards (no play)",-0.130,-0.780
1,1:06,4,13,NWE 39,3,0,"Josh Miller punts 58 yards, returned by D.J. Williams for 18 yards (tackle by Don Davis). Penalty on Domonique Foxworth: Illegal Block Above the , 2 yards",-0.780,0.380
1,0:50,1,10,DEN 3,3,0,Jake Plummer pass complete to Jeb Putzier for 8 yards (tackle by James Sanders),-0.380,-0.200
1,0:18,2,2,DEN 11,3,0,Tatum Bell left tackle for 7 yards (tackle by Chad Brown),-0.200,0.040
Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 18,3,0,Jake Plummer right end for 5 yards (tackle by Eugene Wilson),0.040,0.280
2,14:15,2,5,DEN 23,3,0,Jake Plummer pass complete to Rod Smith for 72 yards (tackle by Duane Starks),0.280,6.060
2,13:18,1,5,NWE 5,3,0,Tatum Bell right guard for 2 yards (tackle by Monty Beisel),6.060,5.530
2,12:40,2,3,NWE 3,3,6,"Tatum Bell left guard for 3 yards, touchdown",5.530,7.000
2,,,,NWE 2,3,7,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,3,7,"Todd Sauerbrun kicks off 61 yards, returned by Ellis Hobbs for 12 yards (tackle by Louis Green)",0.000,0.340
2,12:28,1,10,NWE 21,3,7,"Tom Brady pass incomplete intended for Tom Brady (defended by Trevor Pryce). Penalty on Trevor Pryce: Roughing the Passer, 15 yards (no play)",0.340,1.330
2,12:23,1,10,NWE 36,3,7,Amos Zereoue left tackle for -5 yards (tackle by Courtney Brown),1.330,0.120
2,11:40,2,15,NWE 31,3,7,"Tom Brady pass complete to Daniel Graham for 5 yards (tackle by Domonique Foxworth). Daniel Graham fumbles (forced by Domonique Foxworth), recovered by Daniel Graham at NWE-36",0.120,0.100
2,10:52,3,10,NWE 36,3,7,Tom Brady pass incomplete intended for Tim Dwight (defended by John Lynch),0.100,-0.980
2,10:44,4,10,NWE 36,3,7,"Josh Miller punts 46 yards, fair catch by D.J. Williams. Penalty on Louis Green: Offensive Holding, 9 yards",-0.980,0.380
2,10:36,1,10,DEN 9,3,7,Jake Plummer pass complete to Ashley Lelie for 19 yards (tackle by James Sanders),-0.380,0.810
2,9:56,1,10,DEN 28,3,7,Jake Plummer pass complete to Ashley Lelie for 55 yards (tackle by Duane Starks),0.810,4.440
2,9:11,,,,3,7,Timeout #1 by Denver Broncos,0.000,4.440
2,9:11,1,10,NWE 17,3,7,Mike Anderson right guard for 4 yards (tackle by Chad Brown),4.440,4.500
2,8:37,2,6,NWE 13,3,7,Tatum Bell up the middle for 7 yards (tackle by Chad Brown),4.500,5.830
2,7:57,1,6,NWE 6,3,13,"Jake Plummer pass complete to Rod Smith for 6 yards, touchdown",5.830,7.000
2,,,,NWE 2,3,14,Jason Elam kicks extra point good,0.000,0.000
2,,,,DEN 30,3,14,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
2,7:52,1,10,NWE 20,3,14,Tom Brady pass incomplete intended for Ben Watson,0.280,-0.270
2,7:48,2,10,NWE 20,3,14,Tom Brady pass complete to David Givens for 6 yards (tackle by D.J. Williams),-0.270,-0.160
2,7:07,3,4,NWE 26,3,14,Tom Brady pass incomplete intended for Deion Branch (defended by John Lynch),-0.160,-1.630
2,7:04,4,4,NWE 26,3,14,Josh Miller punts 52 yards,-1.630,-0.410
2,6:55,1,10,DEN 22,3,14,Mike Anderson left tackle for 2 yards (tackle by Jarvis Green and Mike Vrabel),0.410,0.140
2,6:13,2,8,DEN 24,3,14,Jake Plummer pass incomplete intended for Kyle Johnson,0.140,-0.560
2,6:07,3,8,DEN 24,3,14,Jake Plummer sacked by Dan Klecko and Willie McGinest for -8 yards,-0.560,-2.390
2,5:43,4,16,DEN 16,3,14,"Todd Sauerbrun punts 66 yards, returned by Tim Dwight for 10 yards (tackle by Keith Burns)",-2.390,-0.810
2,5:30,1,10,NWE 28,3,14,Tom Brady pass incomplete intended for David Givens (defended by John Lynch),0.810,0.260
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
2,5:24,2,10,NWE 28,3,14,Tom Brady pass incomplete intended for David Givens,0.260,-0.430
2,5:20,3,10,NWE 28,3,14,Tom Brady up the middle for 12 yards (tackle by Al Wilson),-0.430,1.600
2,4:41,1,10,NWE 40,3,14,Patrick Pass right end for 15 yards (tackle by Champ Bailey and John Lynch),1.600,2.590
2,4:05,1,10,DEN 45,3,14,Patrick Pass up the middle for 2 yards (tackle by Ebenezer Ekuban and Courtney Brown),2.590,2.310
2,3:28,2,8,DEN 43,3,14,Tim Dwight right end for -1 yards (tackle by Champ Bailey and Sam Brandon),2.310,1.490
2,2:45,3,9,DEN 44,3,14,Tom Brady pass incomplete intended for Deion Branch (defended by Ebenezer Ekuban),1.490,0.330
2,2:41,4,9,DEN 44,3,14,"Josh Miller punts 44 yards, touchback",0.330,-0.280
2,2:33,1,10,DEN 20,3,14,Jake Plummer pass complete to Tatum Bell for 1 yard (tackle by Rosevelt Colvin),0.280,-0.130
