Unnamed: 0,PIT,WAS
First Downs,15,13
Rush-Yds-TDs,29-64-2,15-60-0
Cmp-Att-Yd-TD-INT,12-27-179-1-1,24-43-206-0-2
Sacked-Yards,5-19,7-45
Net Pass Yards,160,161
Total Yards,224,221
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,5-46,5-78
Third Down Conv.,7-17,3-15
Fourth Down Conv.,0-0,0-2
Time of Possession,30:43,29:17
