Quarter,Time,Tm,Detail,PIT,WAS
1.0,12:57,Redskins,Shaun Suisham 44 yard field goal,0,3
,11:02,Redskins,Shaun Suisham 43 yard field goal,0,6
2.0,8:09,Steelers,Jeff Reed 35 yard field goal,3,6
,0:32,Steelers,Ben Roethlisberger 1 yard rush (Jeff Reed kick),10,6
3.0,10:22,Steelers,Willie Parker 1 yard rush (Jeff Reed kick failed),16,6
4.0,11:58,Steelers,Santonio Holmes 5 yard pass from Byron Leftwich (Jeff Reed kick),23,6
