Unnamed: 0,TEN,GNB
First Downs,23,22
Rush-Yds-TDs,44-224-3,11-35-0
Cmp-Att-Yd-TD-INT,16-27-232-3-0,31-52-402-3-3
Sacked-Yards,0-0,0-0
Net Pass Yards,232,402
Total Yards,456,437
Fumbles-Lost,1-0,4-3
Turnovers,0,6
Penalties-Yards,12-105,3-15
Third Down Conv.,6-14,1-8
Fourth Down Conv.,1-1,2-3
Time of Possession,38:00,22:00
