Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 59 yards, returned by Troy Fleming for 23 yards (tackle by David Martin)",0.000,1.200
1,14:55,1,10,TEN 34,0,0,Steve McNair pass incomplete intended for Drew Bennett,1.200,0.660
1,14:49,2,10,TEN 34,0,0,Chris Brown right tackle for 5 yards (tackle by Paris Lenon and Darren Sharper),0.660,0.630
1,14:10,3,5,TEN 39,0,0,Steve McNair pass complete to Derrick Mason for 24 yards (tackle by Ahmad Carroll),0.630,3.120
1,13:43,1,10,GNB 37,0,0,Steve McNair pass incomplete intended for Drew Bennett,3.120,2.570
1,13:39,2,10,GNB 37,6,0,"Chris Brown right guard for 37 yards, touchdown",2.570,7.000
1,,,,GNB 2,7,0,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,7,0,"Craig Hentrich kicks off 64 yards, returned by Antonio Chatman for 15 yards (tackle by Cody Spencer)",0.000,0.340
1,13:27,1,10,GNB 21,7,0,Ahman Green right tackle for 1 yard (tackle by Rien Long),0.340,-0.070
1,12:49,2,9,GNB 22,7,0,Brett Favre pass complete to William Henderson for 2 yards (tackle by Ken Amato),-0.070,-0.490
1,12:04,3,7,GNB 24,7,0,Brett Favre pass incomplete intended for Donald Driver,-0.490,-1.770
1,11:59,4,7,GNB 24,7,0,"Bryan Barker punts 46 yards, returned by Derrick Mason for 7 yards (tackle by Ahmad Carroll)",-1.770,-1.400
1,11:49,1,10,TEN 37,7,0,Steve McNair pass complete to Chris Brown for 7 yards (tackle by Bhawoh Jue),1.400,1.800
1,11:09,2,3,TEN 44,7,0,Chris Brown right guard for 7 yards (tackle by Na'il Diggs and Paris Lenon),1.800,2.320
1,10:25,1,10,GNB 49,7,0,Steve McNair pass complete to Drew Bennett for 20 yards (tackle by Michael Hawthorne),2.320,3.640
1,9:52,1,10,GNB 29,13,0,"Chris Brown left tackle for 29 yards, touchdown. Penalty on Kabeer Gbaja-Biamila: Defensive Offside (Declined)",3.640,7.000
1,,,,GNB 2,14,0,Gary Anderson kicks extra point good,0.000,0.000
1,,,,TEN 30,14,0,"Craig Hentrich kicks off 67 yards, returned by Antonio Chatman for 29 yards (tackle by Andre Woolfolk)",0.000,1.070
1,9:40,1,10,GNB 32,14,0,Ahman Green left guard for 2 yards (tackle by Tank Williams and Justin Ena),1.070,0.800
1,9:08,2,8,GNB 34,14,0,"Ahman Green right guard for no gain (tackle by Brad Kassell). Ahman Green fumbles (forced by Brad Kassell), recovered by Kevin Carter at GNB-34 (tackle by Bubba Franks)",0.800,-3.310
1,9:00,1,10,GNB 34,14,0,Steve McNair pass complete to Troy Fleming for 12 yards (tackle by Darren Sharper),3.310,4.110
1,9:00,1,10,GNB 22,14,0,"Penalty on Shad Meier: False Start, 5 yards (no play)",4.110,3.780
1,7:59,1,15,GNB 27,14,0,Chris Brown left end for 5 yards (tackle by Torrance Marshall and Ahmad Carroll),3.780,3.560
1,7:59,2,10,GNB 22,14,0,"Penalty on Kabeer Gbaja-Biamila: Neutral Zone Infraction, 5 yards (no play)",3.560,4.290
1,6:51,2,5,GNB 17,14,0,Steve McNair pass incomplete intended for Derrick Mason,4.290,3.560
1,6:45,3,5,GNB 17,14,0,Chris Brown right end for -1 yards (tackle by Nick Barnett),3.560,2.270
1,6:08,4,6,GNB 18,17,0,Gary Anderson 36 yard field goal good,2.270,3.000
1,,,,TEN 30,17,0,"Craig Hentrich kicks off 62 yards, returned by Antonio Chatman for 35 yards (tackle by Troy Fleming). Penalty on Troy Fleming: Unnecessary Roughness, 15 yards",,
1,5:58,1,10,TEN 42,17,0,Brett Favre pass incomplete intended for David Martin (defended by Justin Ena),2.790,2.240
1,5:52,2,10,TEN 42,17,0,"Ahman Green right end for 3 yards (tackle by Keith Bulluck). Penalty on TEN: Defensive 12 On-field, 5 yards (no play)",2.240,2.920
1,5:38,2,5,TEN 37,17,0,Ahman Green up the middle for no gain (tackle by Tank Williams and Carlos Hall),2.920,2.210
1,5:00,3,5,TEN 37,17,0,Brett Favre pass incomplete intended for Robert Ferguson,2.210,0.790
1,4:54,4,5,TEN 37,17,0,"Bryan Barker punts 22 yards, fair catch by Derrick Mason",0.790,0.220
1,4:48,1,10,TEN 15,17,0,"Penalty on Jacob Bell: False Start, 5 yards (no play)",-0.220,-0.570
1,4:48,1,15,TEN 10,17,0,Chris Brown right guard for 7 yards (tackle by Nick Barnett and Corey Williams),-0.570,-0.440
1,4:05,2,8,TEN 17,17,0,Steve McNair pass complete to Robert Holcombe for 7 yards (tackle by Al Harris),-0.440,-0.270
1,3:18,3,1,TEN 24,17,0,Chris Brown left tackle for -2 yards (tackle by Na'il Diggs and Aaron Kampman),-0.270,-1.900
1,2:34,4,3,TEN 22,17,0,"Craig Hentrich punts 49 yards, returned by Antonio Chatman for 1 yard (tackle by Justin Ena)",-1.900,-0.940
1,2:25,1,10,GNB 30,17,0,Brett Favre pass complete to Donald Driver for 47 yards (tackle by Andre Dyson),0.940,4.040
1,1:39,1,10,TEN 23,17,0,Brett Favre pass incomplete intended for Javon Walker (defended by Samari Rolle),4.040,3.500
,,,,,,,"GNB challenged the ruling, and the original play was overturned.",,
1,1:33,2,10,TEN 23,17,0,Brett Favre pass incomplete intended for Bubba Franks (defended by Keith Bulluck),3.500,2.810
1,1:28,3,10,TEN 23,17,0,Brett Favre right end for 2 yards (tackle by Albert Haynesworth),2.810,2.060
1,1:17,4,8,TEN 21,17,3,Ryan Longwell 39 yard field goal good,2.060,3.000
1,,,,GNB 30,17,3,"Ryan Longwell kicks off 66 yards, returned by Troy Fleming for 16 yards (tackle by Ben Steele)",0.000,0.280
1,1:08,1,10,TEN 20,17,3,Steve McNair pass incomplete intended for Derrick Mason,0.280,-0.270
1,1:02,,,,17,3,Timeout #1 by Tennessee Titans,0.000,-0.270
1,1:02,2,10,TEN 20,17,3,Chris Brown left tackle for 3 yards (tackle by Kabeer Gbaja-Biamila and Na'il Diggs),-0.270,-0.560
1,0:15,3,7,TEN 23,17,3,Steve McNair pass complete to Chris Brown for 9 yards (tackle by Nick Barnett),-0.560,1.070
Quarter,Time,Down,ToGo,Location,TEN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 32,17,3,Steve McNair pass complete to Eddie Berlin for 12 yards (tackle by Ahmad Carroll),1.070,1.860
2,14:20,1,10,TEN 44,17,3,Steve McNair pass complete to Drew Bennett for 27 yards (tackle by Ahmad Carroll),1.860,3.640
2,13:32,1,10,GNB 29,17,3,Chris Brown right guard for 3 yards (tackle by Nick Barnett),3.640,3.510
2,12:53,2,7,GNB 26,17,3,"Steve McNair pass complete to Derrick Mason for 18 yards (tackle by Na'il Diggs). Penalty on Fred Miller: Chop Block, 15 yards (no play)",3.510,1.480
2,12:27,2,22,GNB 41,17,3,"Steve McNair pass complete to Chris Brown for 19 yards (tackle by Nick Barnett). Penalty on Justin Hartwig: Offensive Holding, 10 yards (no play)",1.480,0.130
2,11:56,2,32,TEN 49,17,3,Steve McNair left end for 9 yards (tackle by Na'il Diggs),0.130,0.700
2,11:06,3,23,GNB 42,17,3,Steve McNair pass complete to Eddie Berlin for 30 yards (tackle by Ahmad Carroll),0.700,4.780
2,10:19,1,10,GNB 12,17,3,Chris Brown right end for -2 yards (tackle by Aaron Kampman),4.780,3.790
2,9:34,2,12,GNB 14,23,3,"Steve McNair pass complete to Troy Fleming for 14 yards, touchdown",3.790,7.000
2,,,,GNB 2,24,3,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,24,3,"Craig Hentrich kicks off 65 yards, returned by Antonio Chatman for 25 yards (tackle by Andre Woolfolk)",0.000,0.940
2,9:21,1,10,GNB 30,24,3,Brett Favre pass complete to Javon Walker for 33 yards (tackle by Lamont Thompson),0.940,3.120
2,8:40,1,10,TEN 37,24,3,Brett Favre pass complete to Donald Driver for 4 yards (tackle by Keith Bulluck),3.120,3.110
2,7:58,2,6,TEN 33,24,3,Brett Favre pass complete to Donald Driver for 14 yards (tackle by Andre Dyson),3.110,4.310
2,7:14,1,10,TEN 19,24,3,Brett Favre pass complete to Antonio Chatman for 18 yards (tackle by Lamont Thompson),4.310,6.970
2,6:31,1,1,TEN 1,24,9,"Brett Favre pass complete to Bubba Franks for 1 yard, touchdown",6.970,7.000
2,,,,TEN 2,24,10,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,GNB 30,24,10,"Ryan Longwell kicks off 57 yards, returned by Troy Fleming for 23 yards (tackle by Joey Thomas)",0.000,1.330
2,6:20,1,10,TEN 36,24,10,Steve McNair pass incomplete intended for Robert Holcombe (defended by Nick Barnett),1.330,0.790
2,6:16,2,10,TEN 36,24,10,Drew Bennett left end for 12 yards (tackle by Al Harris),0.790,2.130
2,5:47,1,10,TEN 48,24,10,"Steve McNair pass incomplete intended for Derrick Mason. Penalty on TEN: Illegal Formation, 5 yards (no play)",2.130,1.800
2,5:42,1,15,TEN 43,24,10,Chris Brown up the middle for no gain (tackle by Aaron Kampman and Na'il Diggs),1.800,0.910
