Quarter,Time,Tm,Detail,GNB,SEA
1.0,2:25,Packers,Mason Crosby 29 yard field goal,3,0
2.0,13:05,Seahawks,Olindo Mare 50 yard field goal,3,3
,8:17,Seahawks,John Carlson 6 yard pass from Charlie Frye (Olindo Mare kick),3,10
,1:08,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),10,10
3.0,5:56,Packers,Greg Jennings 45 yard pass from Aaron Rodgers (Mason Crosby kick),17,10
4.0,11:23,Packers,John Kuhn 1 yard pass from Aaron Rodgers (Mason Crosby kick),24,10
,8:41,Packers,Mason Crosby 51 yard field goal,27,10
,3:14,Seahawks,Keary Colbert 5 yard pass from Charlie Frye (Olindo Mare kick),27,17
