Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYJ 25,0,0,Le'Veon Bell right tackle for 1 yard (tackle by Brandon Graham and Nigel Bradham),0.610,0.200
1,14:26,2,9,NYJ 26,0,0,Le'Veon Bell right tackle for no gain (tackle by Brandon Graham and Fletcher Cox),0.200,-0.490
1,13:47,3,9,NYJ 26,0,0,Luke Falk sacked by Brandon Graham for -9 yards,-0.490,-2.320
1,13:07,4,18,NYJ 17,0,0,"Lac Edwards punts 52 yards, returned by Darren Sproles for 16 yards (tackle by Daniel Brown)",-2.320,-2.060
1,12:55,1,10,PHI 47,0,0,Miles Sanders right end for -1 yards (tackle by Tarell Basham),2.060,1.380
1,12:17,2,11,PHI 46,0,0,"Carson Wentz pass incomplete short right intended for Nelson Agholor (defended by Henry Anderson). Penalty on Leonard Williams: Defensive Offside, 5 yards (no play)",1.380,2.060
1,12:13,2,6,NYJ 49,0,0,Darren Sproles right end for 5 yards (tackle by Neville Hewitt and Jamal Adams),2.060,2.020
1,11:37,3,1,NYJ 44,0,0,Jordan Howard up the middle for 15 yards (tackle by Marcus Maye),2.020,3.640
1,11:03,1,10,NYJ 29,0,0,"Carson Wentz pass complete short middle to Dallas Goedert for 9 yards (tackle by Trumaine Johnson). Penalty on Trumaine Johnson: Defensive Holding, 5 yards (no play)",3.640,3.970
1,10:39,1,10,NYJ 24,0,0,Miles Sanders right end for no gain (tackle by Neville Hewitt),3.970,3.430
1,10:03,2,10,NYJ 24,0,0,Carson Wentz right end for 5 yards (tackle by Tarell Basham),3.430,3.410
1,9:17,3,5,NYJ 19,0,0,Carson Wentz pass complete short middle to Alshon Jeffery for 13 yards (tackle by Neville Hewitt),3.410,5.830
1,8:37,1,6,NYJ 6,0,0,"Jason Kelce aborted snap, recovered by Carson Wentz at NYJ-28 Carson Wentz pass incomplete short left intended for Mack Hollins",5.830,4.950
1,8:30,2,6,NYJ 6,0,0,Jordan Howard left tackle for 5 yards (tackle by Kyle Phillips),4.950,5.170
1,7:48,3,1,NYJ 1,0,6,"Jordan Howard right end for 1 yard, touchdown",5.170,7.000
1,7:44,,,NYJ 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,7:44,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,7:44,1,10,NYJ 25,0,7,Luke Falk pass incomplete short left intended for Demaryius Thomas,0.610,0.060
1,7:40,2,10,NYJ 25,0,7,Luke Falk pass complete short right to Le'Veon Bell for 14 yards (tackle by Rodney McLeod),0.060,1.530
1,7:08,1,10,NYJ 39,0,7,"Luke Falk pass incomplete deep right intended for Robby Anderson (defended by Craig James). Penalty on Craig James: Defensive Holding, 5 yards (no play)",1.530,1.860
1,7:02,1,10,NYJ 44,0,7,Le'Veon Bell up the middle for 3 yards (tackle by Zach Brown and Craig James),1.860,1.720
1,6:29,2,7,NYJ 47,0,7,Le'Veon Bell left end for 6 yards (tackle by Fletcher Cox),1.720,1.820
1,5:52,3,1,PHI 47,0,7,Le'Veon Bell up the middle for no gain (tackle by Rodney McLeod),1.820,0.130
1,5:15,4,1,PHI 47,0,13,"Luke Falk pass short right intended for Le'Veon Bell is intercepted by Nathan Gerry at PHI-49 and returned for 51 yards, touchdown. Penalty on Derek Barnett: Unnecessary Roughness, 15 yards",0.130,-7.000
1,5:04,,,NYJ 15,0,14,Jake Elliott kicks extra point good,0.000,0.000
1,5:04,,,PHI 20,0,14,"Jake Elliott kicks off 69 yards, returned by Trenton Cannon for 28 yards (tackle by Josh Sweat)",0.000,1.530
1,4:58,1,10,NYJ 39,0,14,Luke Falk pass complete short left to Le'Veon Bell for 1 yard (tackle by Vinny Curry and Rodney McLeod),1.530,1.120
1,4:14,2,9,NYJ 40,0,14,"Luke Falk sacked by Orlando Scandrick for -7 yards. Luke Falk fumbles (forced by Orlando Scandrick), recovered by Vyncint Smith at NYJ-33 and returned for -2 yards (tackle by Malcolm Jenkins)",1.120,-0.760
1,3:24,3,18,NYJ 31,0,14,Luke Falk pass complete short left to Le'Veon Bell for 13 yards (tackle by Rasul Douglas),-0.760,-0.460
1,2:45,4,5,NYJ 44,0,14,"Penalty on NYJ: Delay of Game, 5 yards (no play)",-0.460,-0.780
1,2:36,4,10,NYJ 39,0,14,Lac Edwards punts 49 yards out of bounds,-0.780,0.350
1,2:30,1,10,PHI 12,0,14,Carson Wentz pass complete short right to Miles Sanders for 36 yards (tackle by Marcus Maye),-0.350,2.130
1,1:51,1,10,PHI 48,0,14,Carson Wentz pass complete short left to Dallas Goedert for 11 yards (tackle by Brian Poole),2.130,2.850
1,1:21,1,10,NYJ 41,0,14,Miles Sanders up the middle for no gain (tackle by Neville Hewitt),2.850,2.310
1,0:44,2,10,NYJ 41,0,14,Carson Wentz pass incomplete short left,2.310,1.620
1,0:39,3,10,NYJ 41,0,14,"Penalty on Blake Cashman: Neutral Zone Infraction, 5 yards (no play)",1.620,2.280
1,0:39,3,5,NYJ 36,0,14,Carson Wentz pass incomplete short left intended for Darren Sproles,2.280,0.880
1,0:35,4,5,NYJ 36,0,14,Carson Wentz pass incomplete short middle intended for Alshon Jeffery,0.880,-1.330
1,0:32,1,10,NYJ 36,0,14,Luke Falk pass complete short left to Le'Veon Bell for 4 yards (tackle by Vinny Curry and Nathan Gerry),1.330,1.330
Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NYJ 40,0,14,Luke Falk pass complete short left to Demaryius Thomas for 16 yards (tackle by Kamu Grugier-Hill and Rasul Douglas),1.330,2.650
2,14:23,1,10,PHI 44,0,14,Le'Veon Bell right tackle for 2 yards (tackle by Akeem Spence),2.650,2.380
2,13:43,2,8,PHI 42,0,14,Luke Falk pass complete short right to Jamison Crowder for 5 yards (tackle by Craig James),2.380,2.350
2,12:59,3,3,PHI 37,0,14,Luke Falk pass incomplete short left intended for Demaryius Thomas (defended by Rasul Douglas),2.350,0.790
2,12:55,,,,,,Timeout #1 by New York Jets,,
2,12:55,4,3,PHI 37,0,14,Sam Ficken 55 yard field goal no good,0.790,-1.930
2,12:50,1,10,PHI 45,0,14,"Miles Sanders right tackle for 2 yards (tackle by Neville Hewitt and Marcus Maye). Penalty on Lane Johnson: Offensive Holding, 10 yards",1.930,1.400
2,12:20,1,18,PHI 37,0,14,Carson Wentz pass incomplete short right intended for Zach Ertz,1.400,0.300
2,12:14,2,18,PHI 37,0,14,Carson Wentz pass complete short right to Alshon Jeffery for 5 yards (tackle by Quinnen Williams),0.300,0.300
2,11:38,3,13,PHI 42,0,14,Carson Wentz pass complete short right to Zach Ertz for 8 yards (tackle by Jamal Adams),0.300,-0.060
2,11:05,4,5,PHI 50,0,14,"Cameron Johnston punts 41 yards, fair catch by Braxton Berrios at NYJ-9",-0.060,0.380
2,10:58,1,10,NYJ 9,0,14,Le'Veon Bell left end for -1 yards (tackle by Kamu Grugier-Hill and Vinny Curry),-0.380,-0.850
2,10:21,2,11,NYJ 8,0,14,Luke Falk pass complete short right to Le'Veon Bell for -4 yards (tackle by Malcolm Jenkins and Zach Brown). Penalty on Demaryius Thomas: Illegal Blindside Block (Declined),-0.850,-2.010
2,9:47,3,15,NYJ 4,0,14,"Penalty on NYJ: Delay of Game, 2 yards (no play)",-2.010,-2.240
2,9:26,3,17,NYJ 2,0,14,Luke Falk pass incomplete deep right intended for Robby Anderson,-2.240,-2.490
2,9:20,4,17,NYJ 2,0,14,Lac Edwards punts 56 yards downed by Trenton Cannon,-2.490,-1.730
2,9:09,1,10,PHI 42,0,14,Carson Wentz sacked by Steve McLendon for -8 yards,1.730,0.110
2,8:25,2,18,PHI 34,0,14,Jordan Howard left end for 2 yards (tackle by Jordan Willis),0.110,-0.290
2,7:39,3,16,PHI 36,0,14,Carson Wentz pass incomplete deep right intended for Nelson Agholor,-0.290,-0.980
2,7:32,4,16,PHI 36,0,14,Cameron Johnston punts 60 yards out of bounds,-0.980,0.380
2,7:24,1,10,NYJ 4,0,14,Le'Veon Bell up the middle for 4 yards (tackle by Zach Brown and Hassan Ridgeway),-0.380,-0.490
2,6:47,2,6,NYJ 8,0,14,Luke Falk pass incomplete short left intended for Demaryius Thomas,-0.490,-0.950
2,6:43,3,6,NYJ 8,0,14,Luke Falk sacked by Brandon Graham for no gain,-0.950,-2.490
2,6:04,4,6,NYJ 8,0,14,"Lac Edwards punts 49 yards, returned by Darren Sproles for 8 yards (tackle by Josh Bellamy and Ryan Griffin)",-2.490,-2.320
2,5:53,1,10,NYJ 49,0,14,Jordan Howard left tackle for no gain (tackle by Blake Cashman and Neville Hewitt),2.320,1.780
2,5:16,2,10,NYJ 49,0,14,"Carson Wentz pass complete short right to Mack Hollins for 11 yards (tackle by Trumaine Johnson). Penalty on Darren Sproles: Chop Block, 15 yards (no play)",1.780,-0.240
2,4:48,2,25,PHI 36,0,14,"Carson Wentz pass complete short right to Dallas Goedert for 7 yards (tackle by Darryl Roberts and Neville Hewitt). Penalty on Jason Peters: Ineligible Downfield Pass, 5 yards (no play)",-0.240,-0.920
2,4:19,2,30,PHI 31,0,14,Carson Wentz pass incomplete short left intended for Zach Ertz,-0.920,-1.550
2,4:13,3,30,PHI 31,0,14,Darren Sproles left end for -2 yards (tackle by Tarell Basham),-1.550,-1.440
2,3:32,4,32,PHI 29,0,14,"Cameron Johnston punts 58 yards, returned by Braxton Berrios for 12 yards (tackle by Dallas Goedert)",-1.440,-0.610
2,3:21,1,10,NYJ 25,0,14,Le'Veon Bell right tackle for 4 yards (tackle by Josh Sweat),0.610,0.600
2,2:46,2,6,NYJ 29,0,14,Luke Falk pass complete deep left to Robby Anderson for 16 yards (tackle by Rasul Douglas),0.600,1.930
2,2:23,1,10,NYJ 45,0,14,Luke Falk pass incomplete short left,1.930,1.380
2,2:19,2,10,NYJ 45,0,14,Luke Falk pass incomplete short left intended for Robby Anderson (defended by Rasul Douglas),1.380,0.700
2,2:14,3,10,NYJ 45,0,14,Luke Falk pass deep left intended for Demaryius Thomas is intercepted by Rodney McLeod at PHI-35 and returned for 23 yards,0.700,-2.790
2,2:02,1,10,NYJ 42,0,14,Carson Wentz pass complete short left to Alshon Jeffery for 8 yards (tackle by Neville Hewitt),2.790,3.320
2,1:57,2,2,NYJ 34,0,14,Miles Sanders left tackle for 4 yards (tackle by Quinnen Williams),3.320,3.580
2,1:25,1,10,NYJ 30,0,14,Carson Wentz pass incomplete short middle intended for Dallas Goedert,3.580,3.030
2,1:21,2,10,NYJ 30,0,14,"Carson Wentz pass complete short right to Zach Ertz for 8 yards (tackle by Neville Hewitt). Penalty on Leonard Williams: Illegal Use of Hands, 5 yards (no play)",3.030,3.910
2,1:15,1,10,NYJ 25,0,14,Carson Wentz pass complete short left to Zach Ertz for 6 yards (tackle by Blake Cashman),3.910,4.200
2,0:51,2,4,NYJ 19,0,14,Carson Wentz pass complete short left to Miles Sanders for 5 yards (tackle by Blake Cashman and Jamal Adams),4.200,4.650
2,0:43,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:43,1,10,NYJ 14,0,14,Carson Wentz pass complete short left to Miles Sanders for 3 yards (tackle by Darryl Roberts),4.650,4.520
2,0:38,2,7,NYJ 11,0,20,"Carson Wentz pass complete short middle to Zach Ertz for 11 yards, touchdown",4.520,7.000
2,0:34,,,NYJ 15,0,21,Jake Elliott kicks extra point good,0.000,0.000
2,0:34,,,PHI 35,0,21,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,0:34,1,10,NYJ 25,0,21,Le'Veon Bell left end for 2 yards (tackle by Josh Sweat),0.610,0.330
Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,0,21,"Sam Ficken kicks off 64 yards, returned by Miles Sanders for 24 yards (tackle by Tarell Basham)",0.000,0.610
3,14:53,1,10,PHI 25,0,21,Jordan Howard left end for 5 yards (tackle by Jamal Adams and Tarell Basham),0.610,0.740
3,14:19,2,5,PHI 30,0,21,Carson Wentz pass incomplete short right intended for Alshon Jeffery (defended by Kyle Phillips),0.740,0.040
3,14:14,3,5,PHI 30,0,21,Carson Wentz pass complete deep left to Zach Ertz for 21 yards (tackle by Neville Hewitt),0.040,2.320
3,13:30,1,10,NYJ 49,0,21,Carson Wentz pass complete short left to Alshon Jeffery for 7 yards (tackle by Darryl Roberts),2.320,2.730
3,13:01,2,3,NYJ 42,0,21,Miles Sanders left guard for 2 yards (tackle by Quinnen Williams),2.730,2.280
3,12:18,3,1,NYJ 40,0,21,Carson Wentz pass incomplete short left intended for Dallas Goedert (defended by Jamal Adams),2.280,0.590
3,12:14,4,1,NYJ 40,0,21,Carson Wentz up the middle for no gain (tackle by Leonard Williams),0.590,-1.600
3,11:51,1,10,NYJ 40,0,21,Le'Veon Bell right tackle for 8 yards (tackle by Brandon Graham),1.600,2.130
3,11:17,2,2,NYJ 48,0,21,Le'Veon Bell right tackle for 1 yard (tackle by Orlando Scandrick and Rodney McLeod),2.130,1.550
3,10:43,3,1,NYJ 49,0,21,Le'Veon Bell up the middle for 2 yards (tackle by Rodney McLeod and Fletcher Cox),1.550,2.320
3,10:03,1,10,PHI 49,0,21,Luke Falk pass incomplete short left intended for Jamison Crowder,2.320,1.780
3,10:00,2,10,PHI 49,0,21,Luke Falk pass complete short left to Ryan Griffin for 2 yards (tackle by Orlando Scandrick),1.780,1.360
3,9:22,3,8,PHI 47,0,21,Luke Falk sacked by Brandon Graham for -7 yards,1.360,-0.320
3,8:44,4,15,NYJ 46,0,21,"Lac Edwards punts 45 yards, returned by Darren Sproles for 4 yards (tackle by Trenton Cannon and Thomas Hennessy)",-0.320,0.320
3,8:35,1,10,PHI 13,0,21,"Jordan Howard left end for 1 yard (tackle by Leonard Williams). Penalty on Brandon Brooks: Offensive Holding, 6 yards (no play)",-0.320,-0.610
3,8:14,1,16,PHI 7,0,21,Darren Sproles left end for 1 yard (tackle by Blake Cashman),-0.610,-1.150
3,7:37,2,15,PHI 8,0,21,Carson Wentz pass complete short right to Zach Ertz for 11 yards (tackle by Blake Cashman),-1.150,-0.710
3,6:52,3,4,PHI 19,0,21,"Carson Wentz pass complete short left to Nelson Agholor for 20 yards (tackle by Brian Poole). Nelson Agholor fumbles, ball out of bounds at PHI-39 (forced by Brian Poole)",-0.710,1.530
3,6:21,1,10,PHI 39,0,21,Miles Sanders left end for 8 yards (tackle by Brian Poole),1.530,2.070
3,5:46,2,2,PHI 47,0,21,Carson Wentz pass complete short left to Alshon Jeffery for 7 yards (tackle by Darryl Roberts),2.070,2.520
3,5:03,1,10,NYJ 46,0,21,"Carson Wentz pass incomplete deep right intended for Nelson Agholor. Penalty on Trumaine Johnson: Illegal Contact, 5 yards (no play)",2.520,2.850
3,4:58,1,10,NYJ 41,0,21,Jordan Howard up the middle for 12 yards (tackle by Marcus Maye),2.850,3.640
3,4:24,1,10,NYJ 29,0,21,Jordan Howard left end for 3 yards (tackle by Neville Hewitt),3.640,3.510
3,3:46,2,7,NYJ 26,0,21,Jordan Howard left tackle for 13 yards (tackle by Marcus Maye and Neville Hewitt),3.510,4.710
3,3:03,1,10,NYJ 13,0,21,Jordan Howard left end for no gain (tackle by Jamal Adams),4.710,4.050
3,2:18,2,10,NYJ 13,0,21,Miles Sanders left tackle for 3 yards (tackle by Steve McLendon),4.050,3.650
3,1:33,3,7,NYJ 10,0,21,Carson Wentz pass incomplete short left intended for Miles Sanders,3.650,2.760
3,1:28,4,7,NYJ 10,0,24,Jake Elliott 28 yard field goal good,2.760,3.000
3,1:26,,,PHI 35,0,24,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
3,1:26,1,10,NYJ 25,0,24,Luke Falk sacked by Vinny Curry for -1 yards,0.610,-0.070
3,0:45,2,11,NYJ 24,0,24,"Luke Falk pass complete short right to Jamison Crowder for 5 yards (tackle by Malcolm Jenkins). Penalty on Demaryius Thomas: Illegal Block Above the Waist, 10 yards",-0.070,-0.810
3,0:17,2,16,NYJ 19,0,24,Luke Falk pass complete short left to Demaryius Thomas for 9 yards (tackle by Kamu Grugier-Hill),-0.810,-0.230
Quarter,Time,Down,ToGo,Location,NYJ,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,NYJ 28,0,24,Luke Falk pass incomplete deep right intended for Demaryius Thomas,-0.230,-1.500
4,14:53,4,7,NYJ 28,0,24,"Lac Edwards punts 54 yards, muffed catch by Corey Clement, recovered by Trenton Cannon at PHI-20 and returned for 1 yard (tackle by Ryan Lewis and Duke Riley)",-1.500,4.310
4,14:40,1,10,PHI 19,6,24,"Vyncint Smith left end for 19 yards, touchdown",4.310,7.000
4,14:32,,,PHI 2,6,24,"Two Point Attempt: Luke Falk pass incomplete intended for Ryan Griffin, conversion fails",1.000,-1.000
4,14:32,,,NYJ 35,6,24,"Sam Ficken kicks off 65 yards, touchback.",0.000,0.610
4,14:32,1,10,PHI 25,6,24,Carson Wentz pass complete short right to Alshon Jeffery for 12 yards (tackle by Trumaine Johnson),0.610,1.400
4,13:56,1,10,PHI 37,6,24,Miles Sanders left tackle for -3 yards (tackle by Neville Hewitt and Jamal Adams),1.400,0.450
4,13:13,2,13,PHI 34,6,24,Carson Wentz pass incomplete short left intended for Nelson Agholor,0.450,-0.230
4,13:09,3,13,PHI 34,6,24,"Penalty on Lane Johnson: False Start, 5 yards (no play)",-0.230,-0.890
4,13:09,3,18,PHI 29,6,24,Carson Wentz pass complete short middle to Miles Sanders for 5 yards (tackle by Brian Poole),-0.890,-1.110
4,12:30,4,13,PHI 34,6,24,"Cameron Johnston punts 45 yards, returned by Braxton Berrios for no gain (tackle by Dallas Goedert). Penalty on Ty Montgomery: Illegal Block Above the Waist, 10 yards",-1.110,0.370
4,12:19,1,10,NYJ 11,6,24,Le'Veon Bell left tackle for -2 yards (tackle by Fletcher Cox),-0.370,-0.930
4,11:46,2,12,NYJ 9,6,24,Luke Falk pass complete short right to Demaryius Thomas for 11 yards (tackle by Craig James),-0.930,-0.370
4,11:10,3,1,NYJ 20,6,24,Luke Falk pass complete short left to Demaryius Thomas for 11 yards (tackle by Rasul Douglas),-0.370,1.000
