Quarter,Time,Tm,Detail,NYJ,PHI
1.0,7:44,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),0,7
,5:04,Eagles,Nathan Gerry 51 yard interception return (Jake Elliott kick),0,14
2.0,0:34,Eagles,Zach Ertz 11 yard pass from Carson Wentz (Jake Elliott kick),0,21
3.0,1:26,Eagles,Jake Elliott 28 yard field goal,0,24
4.0,14:32,Jets,Vyncint Smith 19 yard rush (pass failed),6,24
,7:39,Eagles,Orlando Scandrick 44 yard fumble return (Jake Elliott kick),6,31
